"tcut","RIDAGEYR","sodium","potassium","bicarb","u_creatinine","cystatin","b2m","osmolality","scr","bun","u_albumin","dhea","hprog","andro","calcium","phosphate","pth","alp","bone_alp","nfl","test","e2","fsh","lh","progsterone","shbg","amh","e1","troponin","bnp","ck","apob","homocysteine","sbp","map","pp","fibrinogen","crp","hscrp","neutrophils","monocytes","lymphocytes","platelets","wbc","eosinophils","alt","ast","ggt","bilirubin","albumin","transferrin","iron","ferritin","b12","folate","folate_rbc","hemoglobin","hematocrit","mcv","rdw","ldh","rbc","tibc","f_glucose","glycohemoglobin","total_chol","ldl","hdl","tri","insulin","cpeptide","bmi","gtt","tsh","ft4","tt4","ft3","tt3","thyroglobulin","selenium","lead","cobalt","oxychlordane","pcb074","asthma","emphysema","bronchitis","copd","diabetes","anemia","managing_money_hard","heart_failure","heart_disease","angina","heart_attack","stroke","arthritis","osteoporosis","weak_grip","liver_disease","thyroid_problem","walk_quarter_mile","walk_10steps","crouching","lifting_carrying","chores","preparing_meals","walk_across_floor","stand_from_chair","stand_from_bed","cutlery","dressing","protracted_standing","reaching_overhead","push_pull","kidney_disease","kidney_stones","gout","snore","sleep_breathing","trouble_sleeping","sleep_disorder","falling_asleep","wakeup_at_night","wakeup_too_early","insufficient_sleep","sleeping_pills","depression_score","total_bmd","total_bmc","femor_neck_bmd","l1_bmd","l2_bmd","l3_bmd","l4_bmd","smoke_ever","smoke_now","depression_score_num","hip_fracture","moderate_depression","moderately_severe_depression","depression_difficulties","CERAD","CERADDR","AFT","DSST","RIDAGEYRse","sodiumse","potassiumse","bicarbse","u_creatininese","cystatinse","b2mse","osmolalityse","scrse","bunse","u_albuminse","dhease","hprogse","androse","calciumse","phosphatese","pthse","alpse","bone_alpse","nflse","testse","e2se","fshse","lhse","progsteronese","shbgse","amhse","e1se","troponinse","bnpse","ckse","apobse","homocysteinese","sbpse","mapse","ppse","fibrinogense","crpse","hscrpse","neutrophilsse","monocytesse","lymphocytesse","plateletsse","wbcse","eosinophilsse","altse","astse","ggtse","bilirubinse","albuminse","transferrinse","ironse","ferritinse","b12se","folatese","folate_rbcse","hemoglobinse","hematocritse","mcvse","rdwse","ldhse","rbcse","tibcse","f_glucosese","glycohemoglobinse","total_cholse","ldlse","hdlse","trise","insulinse","cpeptidese","bmise","gttse","tshse","ft4se","tt4se","ft3se","tt3se","thyroglobulinse","seleniumse","leadse","cobaltse","oxychlordanese","pcb074se","asthmase","emphysemase","bronchitisse","copdse","diabetesse","anemiase","managing_money_hardse","heart_failurese","heart_diseasese","anginase","heart_attackse","strokese","arthritisse","osteoporosisse","weak_gripse","liver_diseasese","thyroid_problemse","walk_quarter_milese","walk_10stepsse","crouchingse","lifting_carryingse","choresse","preparing_mealsse","walk_across_floorse","stand_from_chairse","stand_from_bedse","cutleryse","dressingse","protracted_standingse","reaching_overheadse","push_pullse","kidney_diseasese","kidney_stonesse","goutse","snorese","sleep_breathingse","trouble_sleepingse","sleep_disorderse","falling_asleepse","wakeup_at_nightse","wakeup_too_earlyse","insufficient_sleepse","sleeping_pillsse","depression_scorese","total_bmdse","total_bmcse","femor_neck_bmdse","l1_bmdse","l2_bmdse","l3_bmdse","l4_bmdse","smoke_everse","smoke_nowse","depression_score_numse","hip_fracturese","moderate_depressionse","moderately_severe_depressionse","depression_difficultiesse","CERADse","CERADDRse","AFTse","DSSTse"
"[28.5,29.5]",29,0.125221179603807,0.121306995980679,0.064843150472092,0.121787604168932,-0.299516756588031,-0.176576872691626,0.0820721607026495,0.023867869788013,-0.0421114740034476,0.0201331213367528,0.171976041911616,0.321212063193436,0.648925967022877,0.130015301943952,0.0887281324037701,-0.115949261431714,0.00554151932179762,0.127139318106896,-0.206578912166674,0.140541111865749,-0.0773717304239392,-0.20786041494355,0.100677482857671,0.124274090439888,-0.156159921181554,0.611033687291754,0.0492063562057739,-0.264717353481996,-0.0424391477214991,0.184160637759366,-0.173493849223393,0.197760573527761,-0.191167840282968,-0.202605802546673,-0.0375848057725525,NA,-0.0416488125693441,-0.0142288408135244,-0.148920314945287,-0.0601229977375731,0.125546710575706,0.0231051958650108,-0.0855563227029892,0.0575383757668914,-0.0573639956787774,-0.0757536108570847,-0.0123478222167388,-0.00274583144937154,0.153705733635853,-0.118682385028211,0.00345745830109511,-0.0225597463528813,0.00627172770928491,-0.0696580102572611,-0.108184323706406,0.063603231266197,0.0573036401063068,0.0136101317635605,-0.0332119092364513,-0.0181444595961761,0.0892926635236569,0.0411350021638042,-0.175329839854994,-0.16890346570163,-0.207618032120808,-0.0740154836600891,-0.0122873014167281,-0.157874832515892,-0.0195148921448782,-0.0666594934177387,-0.0895883346448742,-0.307992314097062,-0.129410781632181,-0.0585701868502362,-0.267870084734503,-0.00144131305569268,0.0476613102049265,-0.000349599496496321,-0.0532462497674958,-0.07800927166396,NA,-0.417007467904968,-0.51559357774184,0.2,0,0.0379464285714286,0,0.03,0.0716666666666667,0.0272108843537415,0.00166666666666667,0.005,0.00666666666666667,0.005,0.00666666666666667,0.0483333333333333,0.00740740740740741,0,0.0183946488294314,0.0532544378698225,0.0205949656750572,0.0068649885583524,0.0317460317460317,0.0385487528344671,0.0294784580498866,0.00453514739229025,0.0090702947845805,0.018140589569161,0.018140589569161,0.00226757369614512,0.0113378684807256,0.0453514739229025,0.0090702947845805,0.0430839002267574,0.0216666666666667,0.0625,0,0.316176470588235,0.421052631578947,0.20049504950495,0.0689655172413793,0.18,0.183673469387755,0.4,0.512195121951219,0.0117647058823529,0.0494956011858382,0.0610036489148586,0.00410870299484773,0.117442243220582,-0.0462826523650793,-0.00193675313094355,0.0480133916677988,-0.0182019666090539,0.293333333333333,0.19,0.141045154743784,0.0111524163568773,0.0986301369863014,0.0356164383561644,0.123333333333333,NA,NA,NA,NA,0,0.0409334966848974,0.043000731502225,0.0420330365509397,0.0445077386519502,0.0625901955839604,0.0676994876734945,0.0414601939736548,0.0376590509245323,0.0443883510796485,0.0460499973106088,0.154104217993631,0.134207923930588,0.148264579088551,0.0432081225811306,0.0454291208829436,0.113770476848833,0.0448127677945052,0.118230622288769,0.172725831319666,0.0798895410670373,0.0796808235981173,0.116865989617055,0.153939789050768,0.156537817686578,0.095288227787708,0.0717409216416564,0.125038960151981,0.0953369915519944,0.114080559758355,0.0635171080466496,0.0848598698524859,0.0923455086219878,0.0432250694086791,0.0436848504061173,0.0473674596623925,NA,0.0630156611566969,0.0704550711927225,0.044484273303728,0.0403996058848861,0.040802653169177,0.0438390014691447,0.0426828549258058,0.0468612478181361,0.0475740540265522,0.0395599087335925,0.0451606086675618,0.048865414607145,0.0420262765123441,0.0699624884316638,0.0462506498195318,0.0421349125229959,0.0603687179771905,0.0630426786482258,0.0596872601747446,0.039455999186703,0.046096186233776,0.040441015588747,0.0442069435150044,0.0504256000090953,0.0425057872111824,0.059790296100869,0.0410079572107975,0.0310869667986827,0.0445996872140858,0.0678110460586257,0.0479370221656004,0.0436790393643324,0.0628870579585735,0.119333473257282,0.0408217702122257,0.0843369252704934,0.112246702750869,0.0861419692129963,0.111934713810684,0.0672550531595124,0.0924284318348064,0.112417490404487,0.0617098579499094,0.0466135207170975,NA,0.179903296425985,0.166849241354745,0.016343556928909,0,0.00903714644957197,0,0.00697000489816667,0.0105389456248747,0.00775629540883772,0.00166666666666667,0.00288192803205943,0.00332497561019391,0.00288192803205943,0.00332497561019391,0.00876299152141423,0.00522808320405347,0,0.0054995485917806,0.00998203947542367,0.00680171542446228,0.00395440193997247,0.00835820517031722,0.00917788182254371,0.00806359362715134,0.00320318727293629,0.00451966021880097,0.00636244460223146,0.00636244460223146,0.00226757369614512,0.0050473488133149,0.00991953052132312,0.00451966021880097,0.00967983820394559,0.00594875475840643,0.0129202848530425,0,0.040019338846835,0.0570107958220081,0.0199438905630638,0.0166721992556975,0.0548839220351387,0.0558900568882824,0.0784464540552738,0.0790334231513162,0.0117647058823529,0.0497428298131776,0.0893391096662798,0.0842149545300118,0.0905380441035151,0.105292167800214,0.0995001016029307,0.0972774604956633,0.100310167180353,0.018602640813162,0.0160289804320019,0.00862229169829151,0.00641478003202405,0.0156280806250473,0.00971403025126486,0.013435197974403,NA,NA,NA,NA
"(29.5,30.5]",30,0.0215677549402775,-0.0614763511009039,0.0168295027115481,0.0664671435156698,-0.113019119437197,-0.0918387019868763,-0.00702169610296904,0.0667769370732011,0.0180456717030774,-0.0207861874726206,0.448616590295591,-0.10871509902409,0.386647012390803,0.122098706353771,0.0505406710211889,0.167848259839181,-0.119383413944165,0.179580795295534,0.100672047866624,0.0443515977645933,-0.138826677936361,-0.164073016470296,-0.0664902621082297,-0.164284355837244,-0.0846108445156375,0.502726391470203,-0.216538304607833,-0.0929896398527505,-0.0315010305391722,0.00298387363020924,-0.273729883272405,0.0475484987935566,-0.206306672698509,-0.218838157009585,-0.0605509774429462,NA,-0.0914000178653491,-0.229038480885334,-0.121025531042366,-0.0114880395521905,0.0634675739153618,-0.0890091971179816,-0.0950663945355728,-0.0444805158443095,-0.0507723487183954,-0.0832105584851741,-0.109595884876418,0.0721292378796839,0.243639337853791,0.197193019715834,0.127505047090045,0.0282279541219412,0.0194425691210781,0.0665570208110065,-0.135100711803413,0.0896767266895199,0.0524792675332052,0.022629373003671,-0.138325260774056,-0.084155421361082,0.0885889618915715,-0.217076659477789,-0.149529774544359,-0.19582838707454,-0.17444616994292,-0.1925665019904,-0.00021627528508199,-0.282320091650031,-0.100937522338958,-0.304918758014813,-0.15948152066366,-0.0927518298204202,-0.133880255607978,0.102175388426379,0.0369916612200058,0.0032599195149007,0.0770952386391767,-0.0358929129146801,0.0438481222858013,-0.0815962212231098,NA,-0.114288696233049,-0.236936583875102,0.126623376623377,0.00410677618069815,0.0369609856262834,0,0.0292207792207792,0.0650406504065041,0.0356394129979036,0,0,0.00487012987012987,0.00162337662337662,0.00324675324675325,0.0584415584415584,0.0072202166064982,0,0.0194805194805195,0.0690978886756238,0.0274261603375527,0.0105485232067511,0.0461215932914046,0.0293501048218029,0.0188679245283019,0.00838574423480084,0.00838574423480084,0.0167714884696017,0.0188679245283019,0.00628930817610063,0.010482180293501,0.0440251572327044,0.0188679245283019,0.039832285115304,0.0178571428571429,0.0496083550913838,0,0.2578125,0.315068493150685,0.193853427895981,0.047808764940239,0.15,0.102564102564103,0.115384615384615,0.269230769230769,0,-0.0380647563572915,-0.125014704401628,-0.211952790836153,0.0887377772047352,0.0213587292136465,0.0231452143217834,0.0344296639245377,0.071581624814261,0.31219512195122,0.2,0.136998254799301,0.0036101083032491,0.120418848167539,0.0392670157068063,0.149350649350649,NA,NA,NA,NA,0,0.0448534689801766,0.0450811636221477,0.0410752021840861,0.0444052296579348,0.0857364529993802,0.0867768446019783,0.0434881630560525,0.0381646659907732,0.0431857630401957,0.0416519166783568,0.123310585909718,0.158594881505895,0.11480688315577,0.0430850167660164,0.0432399287755232,0.12134912659333,0.0462364835689957,0.118223510342002,0.158092076719951,0.0627251449860828,0.0843102276995099,0.124514953194261,0.155166412664985,0.150787156916421,0.0848465292036102,0.109070416426967,0.135319432281353,0.0964972083113337,0.0863005107562693,0.06666187008865,0.0778491807004842,0.0827586070380272,0.0407562258398858,0.0415726401799639,0.0492110859201155,NA,0.0641737336438728,0.0711815350386388,0.0402424903213321,0.0432519158574939,0.0394503928705568,0.0418236374986001,0.040218987442706,0.042986107752658,0.041079223287177,0.0372702275298383,0.0405523095278899,0.0438647043965982,0.0356549714247539,0.0599337593860194,0.0415698511908044,0.0427613944741575,0.0561397248566197,0.0624252809302394,0.0563787040494383,0.0382470407307451,0.0466091185613663,0.0397262040179364,0.0383244968112657,0.0409602161021461,0.0419060431257606,0.0549717016548329,0.0299211955463869,0.0316592454505029,0.0405405933028391,0.0665584263817626,0.044944715110701,0.0417244724028291,0.0547952810493961,0.114453878307511,0.0413806551381926,0.0857657966481196,0.106844811424621,0.0949581033649634,0.102170424093686,0.0807371609602891,0.104761775110225,0.101081171626533,0.0650538217038938,0.0436916909889147,NA,0.176664442720496,0.168809983490484,0.0134097341852893,0.00290094016621198,0.00855806494798588,0,0.00679154487286794,0.00995186822207032,0.00849731114651758,0,0,0.00280719508336376,0.00162337662337662,0.00229393397318804,0.00945903815118104,0.00509620670192491,0,0.0055730228316211,0.0111219957444173,0.00750953813038423,0.00469745373537615,0.00961380221956678,0.0077362885170078,0.00623623289655847,0.00417963840069519,0.00417963840069519,0.00588585500741483,0.00623623289655847,0.00362349730626385,0.00466803545622557,0.00940308178108682,0.00623623289655847,0.00896370765896412,0.0053401783268727,0.0111095645548418,0,0.0388156570856421,0.0547469351976338,0.0192436532523106,0.013494159764154,0.0571771874896867,0.0492161471762766,0.0638971066378314,0.0887120199590061,0,0.0520376886451241,0.0909700736686181,0.0852296090610234,0.0885982900022592,0.0895215893564373,0.0880914540855496,0.0922855712220988,0.088826523004283,0.0187008564567712,0.0161426862454255,0.00867812241329473,0.0036101083032491,0.0166733437417816,0.00995068116270464,0.0143727968485856,NA,NA,NA,NA
"(30.5,31.5]",31,0.0570001828584417,-0.0153416011912075,0.112792289958087,0.0799315054247011,-0.200856541325473,-0.101094246716336,0.0163576315310676,0.0112252203195678,-0.0366509016980142,0.0331818822566987,0.411088616938238,-0.0917000106354495,0.174199796213456,-0.00768653639703861,-0.0466974850264296,0.176441140096481,-0.0303312118490608,0.178807544940426,0.0106075750565803,0.134542536136585,0.00743543755829479,-0.0413507181872125,0.072853919786304,-0.234436292123038,-0.079137247021447,0.403088996452411,0.0700076504361112,-0.163996801446241,-0.317132695214393,0.0451651222744057,-0.323788472596794,0.109831976394668,-0.158679798005627,-0.109842874119399,-0.116698910062563,NA,-0.039726593775165,-0.0558187624626816,-0.0525349563557367,-0.00585460190692431,0.116344818318882,0.0235006417230007,-0.0172592716411742,0.0415188783172787,-0.058717573532189,-0.116783469930765,-0.0216701984962716,0.0433865759454481,0.143910230434328,0.00203445519017229,0.0315927690813377,0.101899612394898,0.0615752210817342,0.0401061958645371,-0.058370473828205,0.0609103429668129,0.0446016305755717,-0.0100109853906596,-0.120345668372859,-0.0739754654271356,0.0486575480472285,-0.146425794234695,-0.114785938110379,-0.0701712253396408,-0.185944132506161,-0.146529651020798,-0.101566393073393,-0.170997857044545,-0.0221859664954708,-0.0867657646433323,0.047237534306689,-0.093477820902909,-0.0485791228687461,0.0916169931624902,0.187730718635123,0.234372552412281,0.277875757982987,0.114806775032612,-0.0935454263202868,-0.190577978873893,NA,-0.208051127249614,-0.555340239344868,0.170812603648424,0,0.0391304347826087,0.00671140939597316,0.0248756218905473,0.0597014925373134,0.0421286031042129,0.0033167495854063,0.0033167495854063,0.00166666666666667,0.00165837479270315,0.00497512437810945,0.0783333333333334,0.0114503816793893,0.0108695652173913,0.00996677740863787,0.0862068965517242,0.0357941834451901,0.0111856823266219,0.0598669623059867,0.0332594235033259,0.0465631929046563,0.024390243902439,0.0110864745011086,0.0199556541019956,0.0266075388026608,0.00665188470066519,0.0155210643015521,0.0643015521064302,0.0221729490022173,0.0532150776053215,0.00995024875621891,0.0753246753246753,0.00324675324675325,0.277372262773723,0.405797101449275,0.213776722090261,0.032258064516129,0.25,0.277777777777778,0.464285714285714,0.416666666666667,0.0921052631578947,0.00556751850853425,-0.0278791966643019,-0.0147430797865135,-0.0773010625618704,-0.0732441182780431,-0.104008114985804,-0.0832419290976906,-0.109116256971016,0.319467554076539,0.226289517470882,0.139539539539539,0,0.121621621621622,0.0432432432432432,0.157545605306799,NA,NA,NA,NA,0,0.0444986866986074,0.0448139595175906,0.0445146783101318,0.0456408054029902,0.0838687666366342,0.0875292195271985,0.0423341902505166,0.0392262102283635,0.0433604777595589,0.0468296956425486,0.111657832279162,0.138831722954114,0.112249241236705,0.0424310722257436,0.0466665414739627,0.119512118166013,0.0458043730407167,0.122899797210658,0.218425585642848,0.0567854078550357,0.079196217435447,0.073406059850754,0.12050065431066,0.130762350329709,0.0761191037649709,0.0687507232555382,0.147068740658481,0.0924307604309139,0.106378478715448,0.0622041579812798,0.0744184333860303,0.0801062999753663,0.0434819360078094,0.0452771439759247,0.0467361947828141,NA,0.0705825487815826,0.0749145665901052,0.0424313778060113,0.0462078424663679,0.0431484370628231,0.0430955518206276,0.0437585385676965,0.0435659633210209,0.0454956051589668,0.0414561770049965,0.0444460374424035,0.0465710708703736,0.040488031915547,0.0733346197181118,0.0456556812274353,0.0424754555418062,0.0592980735759112,0.0613391276339717,0.0628363420003002,0.0385252662643252,0.0453774650827028,0.0400027519364298,0.0386517063977512,0.0504601769671824,0.041624432279679,0.053499758683884,0.0446240044889359,0.035838216879267,0.0401728116170243,0.0607307592941267,0.0457096206743412,0.0440854559473808,0.0626463677307368,0.109236118451171,0.0444945543007506,0.081319776386625,0.104286717103491,0.0849290249173975,0.120027333856261,0.075731701850395,0.0938426716622389,0.100616815876775,0.065058971744968,0.0420861940958092,NA,0.134954056172651,0.127706622011979,0.0153386824577709,0,0.00905072173680928,0.00671140939597315,0.00634773422392466,0.00965666625702454,0.00946969246299896,0.00234334739336064,0.00234334739336064,0.00166666666666667,0.00165837479270315,0.00286761401842903,0.0109785967385462,0.00658550318926987,0.0108695652173913,0.00405195886497734,0.0122963461903411,0.00879677884848503,0.00497990644947651,0.011183609944939,0.00845290669948016,0.00993255723715152,0.00727176578048712,0.00493593728220665,0.006592491683955,0.00758647593221367,0.00383192354673044,0.00582717024225485,0.0115630505877927,0.00694123097228317,0.0105812447409746,0.00404526738495671,0.0134678309442727,0.00324675324675325,0.038390111569325,0.0595480297872134,0.0200045372938135,0.0112421779896343,0.0693375245281536,0.0757094604299167,0.0959792589083161,0.102798992457327,0.0333909935274989,0.0520962656263364,0.0850413240427071,0.088611895070573,0.0984679813330586,0.0998590410544318,0.100168692448373,0.0853556334547333,0.0872699008244772,0.0190354071827959,0.0170822798904641,0.00844482236991132,0,0.0170150421873966,0.0105887992615925,0.0148483467515639,NA,NA,NA,NA
"(31.5,32.5]",32,0.15210279680461,0.0117635053342714,0.141371965729837,0.153132011323287,0.00498850173444766,-0.0857795746420541,0.149654501777416,0.0577901768660556,0.0583250829322395,0.0940798697574496,0.1596889451463,0.0340545166383843,0.274559915835841,0.0740980614068343,-0.0309085092146094,0.175794498902025,0.0168564530967965,0.178449361568849,-0.320004233532532,0.00306433383409617,-0.165005903646763,-0.0487547406041083,0.175141814718948,-0.104041753923055,-0.279194851544765,0.442476859826578,-0.00485934962525802,0.0257953048014677,-0.0418797684376227,0.0615451279222436,-0.0890120123779687,0.175706495619789,-0.0588619191812838,-0.0102096463653141,-0.0781732141190423,NA,-0.120513041809983,-0.1013924140047,-0.0244923020647603,-0.090690389172976,0.140775496278397,-0.0207302367028565,0.00882410481708925,-0.0454555717256057,0.0959270489744356,-0.00588461113883935,0.0559224669678205,-0.000624301752593033,0.200101590076239,0.137901856957977,-0.0017232902927939,0.115964691783478,0.0664506273004536,0.063524643222479,0.0157701844895396,0.0828975544105648,0.100850025065765,-0.00873192143730581,-0.113988548789045,0.000721498954701735,0.0923144555597224,-0.239455135776749,0.0840325867055196,-0.0876682261470656,-0.145701166814072,-0.060290798944846,-0.162636153085402,-0.0530288967492901,0.101016797644723,0.0895771251360768,0.000752206941394306,-0.236470225714981,-0.0463331915387208,0.116150358358864,0.0431645343857729,0.127396427605678,0.0844110954008799,0.151030890734986,0.0378135804407904,-0.120298565858676,NA,-0.43200725917554,-0.10545845441153,0.158813263525305,0.00232558139534884,0.041958041958042,0.0075187969924812,0.0541958041958042,0.0663176265270506,0.0358851674641148,0.00349040139616056,0,0.0034965034965035,0.00174520069808028,0.00875656742556918,0.0767888307155323,0.00796812749003984,0,0.0227272727272727,0.0698151950718686,0.036231884057971,0.0217391304347826,0.0502392344497608,0.0215311004784689,0.0311004784688995,0.00956937799043062,0.00478468899521531,0.0143540669856459,0.0311004784688995,0.00717703349282296,0.0167464114832536,0.062200956937799,0.0215311004784689,0.0502392344497608,0.0104712041884817,0.104225352112676,0.0108303249097473,0.333333333333333,0.271428571428571,0.22680412371134,0.0585585585585585,0.125,0.0952380952380953,0.323529411764706,0.272727272727273,0.0246913580246914,-0.024200623501058,0.0134960804270815,0.0468389022633264,0.13505911731392,0.0512106951057924,0.165913832245229,0.144044611884128,0.172919829348559,0.317626527050611,0.207678883071553,0.135347812401636,0,0.107648725212465,0.0368271954674221,0.155322862129145,NA,NA,NA,NA,0,0.0442918215636714,0.0447398305491424,0.0460804199951221,0.0413572076758037,0.0903439056777929,0.0841494010275478,0.0427633592909994,0.0394656906449849,0.0423573906303556,0.0443700704915434,0.110723427365719,0.149486453077901,0.151455257915221,0.0458898574865825,0.0486347462117563,0.11370201233797,0.0456939532155112,0.119063675174499,0.224538612195272,0.0707928878310299,0.0744410443658385,0.0869472565162569,0.136850075569009,0.130819360292819,0.0824066262566941,0.105759975993606,0.127860646090144,0.0919107773899622,0.114274698851087,0.0621345356101992,0.0978575699348458,0.0786215935717356,0.0458956201535602,0.0469981072466125,0.050340788722314,NA,0.0676112459086634,0.0758429174234437,0.0415359241252765,0.0460020046105545,0.0434181598163031,0.0420733345240133,0.0416073169826498,0.0441323691334738,0.0485781570988617,0.0470312001437191,0.0464722655309231,0.0458001393997557,0.0401212683668439,0.0621686602704645,0.0448977260302532,0.0467315564862862,0.0581897944645177,0.0570486936170342,0.0625752532343351,0.0398045078164591,0.0472736335777313,0.0458331432917703,0.0388138310612281,0.0461601274181981,0.0414445484367916,0.0590493651092758,0.0621503309399642,0.0331061129541751,0.0427158107160258,0.0623791957710474,0.048649618456052,0.0465381459817675,0.0650158130576357,0.149381091462171,0.0449005487858083,0.0898839059741089,0.108386980019036,0.0853829184434717,0.115144365911305,0.0944656985789613,0.108543778294732,0.0874261274531214,0.0674547353475421,0.0419146655387904,NA,0.179688343162123,0.170152830672294,0.0152824005714691,0.00232558139534884,0.00969120960606636,0.0075187969924812,0.00947469844844284,0.0104043763434396,0.00910864640750468,0.00246592813426944,0,0.00247023540920434,0.00174520069808028,0.00390229126406944,0.0111327264512917,0.00562303705637525,0,0.00623682412243951,0.0115595642627364,0.00919510537177342,0.0071758507848206,0.0106969654106571,0.00710785565188247,0.00850070369606596,0.00476744681663226,0.00337922690150884,0.00582478532588181,0.00850070369606596,0.00413371343587605,0.00628384728142911,0.0118272941552809,0.00710785565188247,0.0106969654106571,0.00425612640940158,0.0162399406578249,0.00623019440809586,0.0421637021355795,0.053535184426749,0.0212870144679409,0.0157941299849775,0.0482403115617475,0.0458437964134508,0.081437488852138,0.0787295821622221,0.0173499621266114,0.0523640661994018,0.0859207465337294,0.090329096037067,0.0963443035937219,0.0918814490281945,0.0955158935739374,0.0935054974321191,0.0982906342962314,0.0194657632190468,0.0169608952027864,0.0087919155747281,0,0.0165196574685042,0.0100384138808224,0.0151448524933054,NA,NA,NA,NA
"(32.5,33.5]",33,0.176478516320362,-0.0158569194638604,0.127021508223074,0.0634016561436373,-0.0587628554160802,0.00654914729129927,0.145178008997689,0.0350163447328008,0.0328369386419731,-0.0211774553974958,0.166958041517461,0.061291207355209,0.151060720712125,0.00420877624812725,-0.128833381042351,0.323288545687897,-0.0472275976852564,0.0021863091605802,-0.209893622217519,0.137420906252139,0.0641583127889562,-0.146254945442671,0.118404941965274,0.00831616201670364,-0.134825204576621,0.433052144858626,-0.0236720719592123,-0.259016102746038,-0.0411941953726178,-0.108398193134454,-0.138225085141255,0.189810491645357,-0.0792420112203962,-0.00447905982059529,-0.118175046410729,NA,-0.120209183548037,-0.186704910105709,-0.113364386065404,-0.115128630228519,0.0556618526899904,-0.00742264171300086,-0.0901814947599928,-0.0446067209948856,-0.0452419320089093,-0.0367722300785468,-0.109752130058121,0.0274296509594822,0.107333153988504,-0.073002759079253,-0.0368419501954242,-0.0119971008216833,0.0641408196622479,-0.0698947978533356,-0.0760716045585538,0.0498119933139511,0.0913159592138902,-0.0190817265879455,0.0287961310763147,0.0117968884395077,0.111267617750527,-0.119573954143474,-0.0874473316868032,-0.0255015419815704,-0.104774196006468,-0.0333217061600784,-0.0526111175018236,-0.15518972218076,-0.0208792041646025,-0.101786837851227,-0.0110907946768911,0.095268372866156,0.0812328027894966,0.00904960721168904,-0.036245730566928,0.0850878167647014,-0.113694210027477,0.166636983887515,0.0538080182142314,-0.0452090830520467,NA,-0.581796022365026,-0.492001377717858,0.146953405017921,0,0.057356608478803,0,0.043010752688172,0.073608617594255,0.0251889168765743,0.003584229390681,0.0017921146953405,0,0.0053763440860215,0.00716845878136201,0.107719928186715,0.013215859030837,0,0.0197132616487455,0.0898203592814371,0.0279187817258883,0.0177664974619289,0.0629722921914358,0.0377833753148615,0.035264483627204,0.0125944584382872,0.00503778337531486,0.0151133501259446,0.017632241813602,0,0.0151133501259446,0.052896725440806,0.0226700251889169,0.0503778337531486,0.0125673249551167,0.0517241379310345,0,0.325925925925926,0.259259259259259,0.214659685863874,0.0365296803652968,0.113636363636364,0.105263157894737,0.371428571428572,0.266666666666667,0.0149253731343284,-0.0352813408051081,0.0116704164527101,0.102873210320089,0.0305397567241625,-0.0280621698008796,-0.000202649984195185,0.0772662226718523,0.075471599522291,0.313620071684588,0.182795698924731,0.133720930232557,0,0.101744186046512,0.0319767441860465,0.116487455197133,NA,NA,NA,NA,0,0.0449024892519311,0.0453201166270838,0.0448111159794366,0.0448425716974342,0.0954619344425104,0.104019250442029,0.044054166075356,0.0412978804112965,0.0443515067661482,0.0466956700945588,0.118535609123432,0.138612528775741,0.118980227764223,0.0407509700817193,0.0460200938000331,0.114330118712369,0.0458867747735719,0.127480243027761,0.175427695624394,0.0664336214794874,0.0672716090309717,0.060508325248734,0.0922441069060748,0.14192787750644,0.0801322144335918,0.10336465232614,0.104713683625957,0.131306016784051,0.0965978469694253,0.0599752283369965,0.0826452899927413,0.0905415291967472,0.0471261798895329,0.0477357964427183,0.0490255908995962,NA,0.076570456449888,0.0691102983056509,0.0440449889631762,0.0427054652727226,0.0448341702691169,0.0434847737860972,0.0444414101901965,0.0460046807174282,0.0464539018993538,0.0441075720058022,0.0413055774374372,0.0529511625372641,0.0425554374759653,0.0634588311388582,0.043058562838659,0.0491087262384025,0.0667576317071984,0.0592688139688084,0.0557125718023637,0.0425234443945862,0.049369442759957,0.0428780132396986,0.0421238640925579,0.0490836190030905,0.0437356027292601,0.0631526354270504,0.0529748767424409,0.0339604547705091,0.0437859453383138,0.0623747009693773,0.0449697385404241,0.0465066700894535,0.059991978228579,0.119136685719116,0.045305250398066,0.0772970433779833,0.13116533724011,0.117137178578928,0.129330782640917,0.0964199500062925,0.113261109486097,0.11642787196022,0.0638790846546675,0.0520367943622298,NA,0.16190760443273,0.119235667904453,0.0150019808250196,0,0.0116261373575463,0,0.0085963571928056,0.0110745015486283,0.00787439838060426,0.00253215681100922,0.0017921146953405,0,0.00309845592236762,0.00357456403540336,0.0131480464162949,0.00759634288492058,0,0.00589017515108316,0.0127869200623129,0.0083100422637015,0.00666364734996861,0.0122068434407447,0.00958162591702644,0.00926883828676163,0.00560389431126713,0.00355775015233079,0.00613092359898194,0.00661368069832264,0,0.00613092359898194,0.011247745214945,0.0074799555626568,0.0109912623262281,0.00472430332471756,0.0118891071505254,0,0.0404912204170254,0.0489953946493444,0.0210349605958022,0.0127061465328497,0.0483983327830926,0.0504527677125697,0.0828658355335869,0.0821175682735253,0.0149253731343284,0.0535621990418727,0.0788560991716628,0.0816542551184112,0.107206654084619,0.100528773291977,0.0926855851785392,0.0934155796849095,0.0952707327979307,0.0196587823655358,0.0163764857140824,0.0087261776670377,0,0.016323292364646,0.0094997670705381,0.0135930946654239,NA,NA,NA,NA
