"var","z","x","y","z_worker","xse","yse","z_workerse","xlow","ylow","z_workerlow","xhigh","yhigh","z_workerhigh","time_since_menopause","p"
"bone_alp",0.664221007478663,0.01,0.0658774848515473,0.693529141957053,1.00000000030117e-05,0.0991800682450766,NA,0.00998999999999699,-0.0333025833935293,NA,0.010010000000003,0.165057553096624,NA,0.01,0.506548869925139
"bone_alp",0.848292432376408,1,0.076776133587838,0.933142879832433,0,0.0905066821977383,NA,1,-0.0137305486099004,NA,1,0.167282815785576,NA,1,0.396275131062843
"bone_alp",1.05502921939666,2,0.0874313131567211,1.18383341787594,0,0.0828709874089751,NA,2,0.00456032574774597,NA,2,0.170302300565696,NA,2,0.291411961427512
"bone_alp",1.27625143034026,3,0.0975504377296273,1.43820509308619,0,0.0764351250941355,NA,3,0.0211153126354919,NA,3,0.173985562823763,NA,3,0.201866653398424
"bone_alp",1.50175320339597,4,0.10694876272531,1.68872064533495,0,0.0712159378008737,NA,4,0.0357328249244363,NA,4,0.178164700526184,NA,4,0.133160858021324
"bone_alp",1.71884640018685,5,0.115439808077628,1.9254299588183,0,0.0671612123486304,NA,5,0.0482785957289977,NA,5,0.182601020426259,NA,5,0.0856423441147094
"bone_alp",2.34491606037605,10,0.137891515805237,2.58420597088139,0,0.0588044570700428,NA,10,0.0790870587351943,NA,10,0.19669597287528,NA,10,0.0190313636213379
"calcium",0.845099378879387,0.01,0.0294382140736138,1.00537085038099,1.00000000030117e-05,0.0348340263989417,NA,0.00998999999999699,-0.0053958123253279,NA,0.010010000000003,0.0642722404725555,NA,0.01,0.398055355094463
"calcium",0.400161286841239,1,0.0127935272994322,0.424446091924443,0,0.0319709270240025,NA,1,-0.0191773997245703,NA,1,0.0447644543234346,NA,1,0.68903772635647
"calcium",-0.141263906525118,2,-0.00415065797680561,-0.239270679641681,0,0.029382296433007,NA,2,-0.0335329544098126,NA,2,0.0252316384562014,NA,2,0.887661462053909
"calcium",-0.783231780353556,3,-0.0212607349289649,-0.988563607696493,0,0.0271448828587723,NA,3,-0.0484056177877372,NA,3,0.00588414792980733,NA,3,0.433491015632496
"calcium",-1.52609540174064,4,-0.0385735911376422,-1.82696718595934,0,0.0252760024659309,NA,4,-0.0638495936035731,NA,4,-0.0132975886717113,NA,4,0.126986107080196
"calcium",-2.36237994033651,5,-0.0561294873482029,-2.75169186738309,0,0.0237597206062491,NA,5,-0.079889207954452,NA,5,-0.0323697667419537,NA,5,0.0181580219069699
"calcium",-7.59562664688557,10,-0.149169185374305,-8.35040033052988,0,0.0196388253805852,NA,10,-0.16880801075489,NA,10,-0.12953035999372,NA,10,3.06421554796543e-14
"phosphate",-0.0942069705727675,0.01,-0.00247929898138869,-0.0845478190707647,1.00000000030117e-05,0.0263175746583808,NA,0.00998999999999699,-0.0287968736397695,NA,0.010010000000003,0.0238382756769921,NA,0.01,0.924944747686494
"phosphate",-0.897448254892841,1,-0.0218077382102202,-1.12358478104512,0,0.0242997165478071,NA,1,-0.0461074547580273,NA,1,0.00249197833758694,NA,1,0.369479773210181
"phosphate",-1.83044706647844,2,-0.0412993132430262,-2.20117929176317,0,0.0225624187660783,NA,2,-0.0638617320091045,NA,2,-0.0187368944769479,NA,2,0.0671831152012035
"phosphate",-2.86859476840081,3,-0.0607042620823716,-3.3042746049449,0,0.021161672171707,NA,3,-0.0818659342540786,NA,3,-0.0395425899106646,NA,3,0.00412299662522631
"phosphate",-3.97893788248147,4,-0.0799703565000682,-4.42799813328602,0,0.0200984179351386,NA,4,-0.100068774435207,NA,4,-0.0598719385649296,NA,4,6.9223822563691e-05
"phosphate",-5.12139141312448,5,-0.0990492167471366,-5.56408431669955,0,0.0193402942202983,NA,5,-0.118389510967435,NA,5,-0.0797089225268384,NA,5,3.03289369174564e-07
"phosphate",-10.4732087928864,10,-0.190365425150692,-11.0402005366799,0,0.0181764184134275,NA,10,-0.208541843564119,NA,10,-0.172189006737264,NA,10,0
"pth",-0.780950800960357,0.01,-0.0495317597685793,-0.723350757165475,1.00000000030117e-05,0.0634249426566547,NA,0.00998999999999699,-0.112956702425234,NA,0.010010000000003,0.0138931828880755,NA,0.01,0.434831431720048
"pth",-0.418997396311828,1,-0.0249102246327651,-0.311680968873978,0,0.0594519795398114,NA,1,-0.0843622041725765,NA,1,0.0345417549070464,NA,1,0.675218035211073
"pth",-5.27761090337034e-05,2,-2.95237615539267e-06,0.137062603111713,0,0.0559415275102462,NA,2,-0.0559444798864016,NA,2,0.0559385751340908,NA,2,0.999957890757442
"pth",0.471567416357352,3,0.0249857558940956,0.623383845641168,0,0.0529844832942434,NA,3,-0.0279987274001477,NA,3,0.077970239188339,NA,3,0.637235588771737
"pth",0.990404513121336,4,0.0501050878769701,1.1502941970821,0,0.05059052863063,NA,4,-0.000485440753659895,NA,4,0.1006956165076,NA,4,0.321976440404335
"pth",1.54742254378991,5,0.0754099824075648,1.71853353094302,0,0.0487326378371562,NA,5,0.0266773445704086,NA,5,0.124142620244721,NA,5,0.121761388595449
"pth",4.56853052483688,10,0.207005585719613,5.06280817869331,0,0.0453111968047983,NA,10,0.161694388914814,NA,10,0.252316782524411,NA,10,4.91155547321931e-06
"femor_neck_bmd",0.0630482518957815,0.01,0.00350145340757197,0.0777656338137012,1.00000000030117e-05,0.0555360902529044,NA,0.00998999999999699,-0.0520346368453324,NA,0.010010000000003,0.0590375436604763,NA,0.01,0.94972808126478
"femor_neck_bmd",-0.889934379142867,1,-0.0437639131936918,-1.13461064013371,0,0.0491765620245423,NA,1,-0.0929404752182341,NA,1,0.00541264883085057,NA,1,0.373501122537714
"femor_neck_bmd",-2.09409763152462,2,-0.0916439249538464,-2.53088373538926,0,0.0437629667185691,NA,2,-0.135406891672416,NA,2,-0.0478809582352773,NA,2,0.0362512840265121
"femor_neck_bmd",-3.5393288053608,3,-0.139776690950212,-4.10656414033329,0,0.0394924288295851,NA,3,-0.179269119779797,NA,3,-0.100284262120627,NA,3,0.000401145863115016
"femor_neck_bmd",-5.17483302134296,4,-0.188282885807419,-5.84555362850254,0,0.0363843403315371,NA,4,-0.224667226138956,NA,4,-0.151898545475882,NA,4,2.28114896305698e-07
"femor_neck_bmd",-6.91285814086008,5,-0.237285920599095,-7.70820730021512,0,0.0343252987062703,NA,5,-0.271611219305365,NA,5,-0.202960621892825,NA,5,4.74975614395134e-12
"femor_neck_bmd",-15.4084292767589,10,-0.493760432162264,-17.4341458240897,0,0.032044825808885,NA,10,-0.525805257971149,NA,10,-0.461715606353379,NA,10,0
"l1_bmd",0.442758977561465,0.01,0.0189379463491152,0.455985917501695,1.00000000030117e-05,0.0427725857833932,NA,0.00998999999999699,-0.023834639434278,NA,0.010010000000003,0.0617105321325084,NA,0.01,0.657940078218018
"l1_bmd",0.55561372341795,1,0.0224935808995653,0.593518854683358,0,0.0404842068356272,NA,1,-0.017990625936062,NA,1,0.0629777877351925,NA,1,0.578474947862781
"l1_bmd",0.678543017592597,2,0.0260449469915472,0.737821697512897,0,0.0383836342225613,NA,2,-0.0123386872310141,NA,2,0.0644285812141085,NA,2,0.497427458327794
"l1_bmd",0.809080029194193,3,0.0295337584001474,0.886675482812981,0,0.0365028888793135,NA,3,-0.00696913047916615,NA,3,0.0660366472794609,NA,3,0.418469114711999
"l1_bmd",0.945532268425489,4,0.0329397841271884,1.03895181475869,0,0.0348372924194752,NA,4,-0.00189750829228674,NA,4,0.0677770765466636,NA,4,0.344387204819336
"l1_bmd",1.08611818538,5,0.0362457474557082,1.1932610601591,0,0.0333718263294035,NA,5,0.0028739211263047,NA,5,0.0696175737851118,NA,5,0.277426707697354
"l1_bmd",1.79030285029612,10,0.0509624067553331,1.9399749816952,0,0.0284658021668814,NA,10,0.0224966045884518,NA,10,0.0794282089222145,NA,10,0.0734052383126185
"l2_bmd",0.700672436730619,0.01,0.0357262948151264,0.771669872663285,1.00000000030117e-05,0.0509885831699439,NA,0.00998999999999699,-0.0152622883548175,NA,0.010010000000003,0.0867148779850703,NA,0.01,0.48350746126868
"l2_bmd",0.71053913189658,1,0.0339889612256807,0.781288791853829,0,0.047835452967885,NA,1,-0.0138464917422043,NA,1,0.0818244141935656,NA,1,0.47736987339658
"l2_bmd",0.713589337115815,2,0.0320973613254857,0.784255270026764,0,0.0449801582731278,NA,2,-0.0128827969476421,NA,2,0.0770775195986135,NA,2,0.475481152940235
"l2_bmd",0.706745359455234,3,0.0300159168006439,0.777094772091503,0,0.0424706245312745,NA,3,-0.0124547077306306,NA,3,0.0724865413319184,NA,3,0.479724735859927
"l2_bmd",0.68746944191003,4,0.0276988238063847,0.756448947720965,0,0.0402909891229896,NA,4,-0.0125921653166048,NA,4,0.0679898129293743,NA,4,0.491786950941997
"l2_bmd",0.653873258113549,5,0.0251097677838331,0.719413470548322,0,0.0384015823743515,NA,5,-0.0132918145905185,NA,5,0.0635113501581846,NA,5,0.513193464016481
"l2_bmd",0.240021984032749,10,0.00771088779758977,0.263624771907295,0,0.0321257564329511,NA,10,-0.0244148686353613,NA,10,0.0398366442305409,NA,10,0.810313213896648
"l3_bmd",0.632475112377798,0.01,0.0397049961829615,0.854357135219678,1.00000000030117e-05,0.0627771676796736,NA,0.00998999999999699,-0.0230721714967122,NA,0.010010000000003,0.102482163862635,NA,0.01,0.527076466033496
"l3_bmd",0.939209764211205,1,0.0524702536743165,1.2337110498937,0,0.0558663843517253,NA,1,-0.00339613067740883,NA,1,0.108336638026042,NA,1,0.347623056813368
"l3_bmd",1.29933319232964,2,0.0650230211456445,1.63134495897567,0,0.0500433772718926,NA,2,0.014979643873752,NA,2,0.115066398417537,NA,2,0.193829608021028
