"t","sodium","potassium","bicarb","u_creatinine","cystatin","b2m","osmolality","scr","bun","u_albumin","dhea","hprog","andro","calcium","phosphate","pth","alp","bone_alp","nfl","test","e2","fsh","lh","progsterone","shbg","amh","e1","troponin","bnp","ck","apob","homocysteine","sbp","map","pp","fibrinogen","crp","hscrp","neutrophils","monocytes","lymphocytes","platelets","wbc","eosinophils","alt","ast","ggt","bilirubin","albumin","transferrin","iron","ferritin","b12","folate","folate_rbc","hemoglobin","hematocrit","mcv","rdw","ldh","rbc","tibc","f_glucose","glycohemoglobin","total_chol","ldl","hdl","tri","insulin","cpeptide","bmi","gtt","tsh","ft4","tt4","ft3","tt3","thyroglobulin","selenium","lead","cobalt","oxychlordane","pcb074","asthma","emphysema","bronchitis","copd","diabetes","anemia","managing_money_hard","heart_failure","heart_disease","angina","heart_attack","stroke","arthritis","hip_fracture","osteoporosis","weak_grip","liver_disease","thyroid_problem","walk_quarter_mile","walk_10steps","crouching","lifting_carrying","chores","preparing_meals","walk_across_floor","stand_from_chair","stand_from_bed","cutlery","dressing","protracted_standing","reaching_overhead","push_pull","kidney_disease","kidney_stones","gout","snore","sleep_breathing","trouble_sleeping","sleep_disorder","falling_asleep","wakeup_at_night","wakeup_too_early","insufficient_sleep","sleeping_pills","depression_score","total_bmd","total_bmc","femor_neck_bmd","l1_bmd","l2_bmd","l3_bmd","l4_bmd","smoke_ever","smoke_now","slow_gait","tse","sodiumse","potassiumse","bicarbse","u_creatininese","cystatinse","b2mse","osmolalityse","scrse","bunse","u_albuminse","dhease","hprogse","androse","calciumse","phosphatese","pthse","alpse","bone_alpse","nflse","testse","e2se","fshse","lhse","progsteronese","shbgse","amhse","e1se","troponinse","bnpse","ckse","apobse","homocysteinese","sbpse","mapse","ppse","fibrinogense","crpse","hscrpse","neutrophilsse","monocytesse","lymphocytesse","plateletsse","wbcse","eosinophilsse","altse","astse","ggtse","bilirubinse","albuminse","transferrinse","ironse","ferritinse","b12se","folatese","folate_rbcse","hemoglobinse","hematocritse","mcvse","rdwse","ldhse","rbcse","tibcse","f_glucosese","glycohemoglobinse","total_cholse","ldlse","hdlse","trise","insulinse","cpeptidese","bmise","gttse","tshse","ft4se","tt4se","ft3se","tt3se","thyroglobulinse","seleniumse","leadse","cobaltse","oxychlordanese","pcb074se","asthmase","emphysemase","bronchitisse","copdse","diabetesse","anemiase","managing_money_hardse","heart_failurese","heart_diseasese","anginase","heart_attackse","strokese","arthritisse","hip_fracturese","osteoporosisse","weak_gripse","liver_diseasese","thyroid_problemse","walk_quarter_milese","walk_10stepsse","crouchingse","lifting_carryingse","choresse","preparing_mealsse","walk_across_floorse","stand_from_chairse","stand_from_bedse","cutleryse","dressingse","protracted_standingse","reaching_overheadse","push_pullse","kidney_diseasese","kidney_stonesse","goutse","snorese","sleep_breathingse","trouble_sleepingse","sleep_disorderse","falling_asleepse","wakeup_at_nightse","wakeup_too_earlyse","insufficient_sleepse","sleeping_pillsse","depression_scorese","total_bmdse","total_bmcse","femor_neck_bmdse","l1_bmdse","l2_bmdse","l3_bmdse","l4_bmdse","smoke_everse","smoke_nowse","slow_gaitse"
-25,0.064463759366692,-0.0299839344405019,0.0433835296129963,0.0180130735328924,-0.0188978175024075,-0.0376691140201603,0.00341803803853717,-0.0214055408941857,-0.0711583149251959,-0.0426154599403065,0.271455477240629,0.0339674394311969,0.0334160145020778,0.0968373431590178,0.103586646710582,0.022440185468331,-0.0123233989392304,-0.101189034933608,-0.162436052676617,0.190090460781488,0.0517295335968636,-0.0569303930463549,0.0780270324231603,0.0433684700614985,-0.0145584285294366,0.0795895992097122,-0.0414518319138189,-0.0301369101604288,-0.0173864172238617,0.064853013547448,-0.153343410753554,-0.144389188730009,0.0650740737471934,-0.053993734607551,0.192419123211621,-0.114826296458427,-0.0292709222632137,-0.173839820003031,-0.0116801698896444,0.0429076627968364,0.0361646224227455,0.0221876726040155,0.00722253690200028,-0.0130208253814186,-0.0657443383697717,-0.0385111611145396,-0.109717175182272,-0.00485359541499483,0.133248075328846,-0.140794753708245,0.0108104431347029,-0.0926765675976565,0.000988741879363659,-0.0916919168988369,-0.158519646542604,-0.0150653148251947,-0.0369037801600947,-0.0265496258354252,-0.0642247585613243,-0.051288048015216,0.0269104528096922,0.173780059525411,-0.0848885426649781,-0.157959914981454,-0.189389211432311,-0.118347654759063,0.0834991221883903,-0.157823601257433,-0.0428228934062731,-0.0154319897310988,-0.123428184017716,-0.0886566413963077,0.0262346226101367,-0.0571171096635201,-0.0717144227692241,0.159359276878795,0.0689564814733372,0.0458317768225122,0.06656879418867,-0.131828400120087,-0.0311861113336956,-0.211022378224808,0.407196359349533,0.165285410148645,0.00138865133285279,0.0226180564281792,0.0022775410409099,0.0176174638393283,0.00344943229337441,0.0428366715209235,0.00213092593846427,0.00103291432863695,0.00152178708821574,0.00298711535584293,0.00352775915738758,0.0320671895973012,0.00488786886598793,0.00271997886601281,0.0080839399425029,0.0145583311642517,0.0166822319164892,0.0205484447556103,0.00918454733590654,0.0389798001033815,0.0169461086586949,0.0207877210654141,0.0187796349099657,0.00789648438068802,0.0125157709240614,0.0153560283929429,0.00527262528021121,0.0103774528125981,0.0346019462732655,0.0119160555307043,0.0300493403606821,0.00977707681497348,0.0360704779566379,0.0105193849037061,0.512748850556542,0.180888819082451,0.116526322781903,0.0473897645499169,0.0864681963273308,0.0694135102669387,0.202312578816909,0.221706715665254,0.017495317227117,-0.350201674739699,-0.045072341916405,-0.0328499915109392,0.172109063267381,-0.0234775227650218,-0.0115093006639436,-0.0307828197900769,-0.0585091076006405,0.424397431599149,0.290586500299471,0.00291885153763464,25,0.072475547166541,0.071010739914203,0.0703560797948904,0.0627773707920678,0.0443753290603217,0.0523073532234282,0.0736190185411704,0.0552743707410482,0.0744060439441085,0.0701597794546657,0.0628486599594692,0.0820772838311555,0.0794539270928656,0.0572172560648899,0.0604441517219855,0.0685023808211637,0.0644473636006871,0.076224215835639,0.0754860171681987,0.0594818219154723,0.077014982594832,0.0749059619836898,0.069462068316,0.0729999786073622,0.07368588660177,0.0718854223164405,0.0675621010839452,0.0694203341818473,0.0717858049941545,0.0674729180562346,0.071870841469576,0.0611805693485497,0.0924967294372712,0.0796604122137086,0.0802516849953238,0.0739801955198932,0.0521292832125671,0.0735243832799824,0.0657303305221858,0.0623724253957958,0.0641206456885849,0.0629916460481927,0.0639405973064257,0.0645781088860691,0.0745222175870088,0.0620272044786785,0.0714139851257535,0.0753999010590619,0.064352397091631,0.0747976292955776,0.0672456419686763,0.0733292963522661,0.0781668807428141,0.0734197663526321,0.0709241545980324,0.0701523742387011,0.0750674938430875,0.0691191640090743,0.0660387753173903,0.0691173650518756,0.0891702278140013,0.0664154772893153,0.0462732780363189,0.045084433177163,0.0630486523162292,0.0660656095292644,0.0660144455850434,0.057294334707708,0.0610307726814736,0.0726443477697621,0.0691970231322315,0.0645497545550998,0.113955592866903,0.110266230685756,0.11099917565941,0.0815908422511758,0.0663053078727727,0.0873843485214683,0.0751779978662659,0.0699355677296585,0.0662991044127663,0.0795334184567678,0.0757879320147461,0.0238642111041929,0.00252160347271095,0.0104892123688845,0.00303147743920705,0.00893586034818933,0.00336514146334145,0.0128210189041732,0.00319085862974975,0.00208180792085736,0.00254874578019855,0.00350847417637758,0.00384409944587353,0.0124479598593171,0.0051754257432836,0.00339761967477107,0.00685953185085096,0.00667869776329723,0.00938803409644185,0.00962353322063149,0.0070556945333114,0.012847736863455,0.00754691495736477,0.00829732351746379,0.0094425275020668,0.00646635457715275,0.00675150283402137,0.00839587102191352,0.00392446982114432,0.00708301779658154,0.0109078286025097,0.00778185804736479,0.0101733305539115,0.00696119011152917,0.0130949622685102,0.00660517335613566,0.0364255562705078,0.0300930671993449,0.0197423366760751,0.0165333864889735,0.0214214106327879,0.0182952052426936,0.0275492541618712,0.0348551392300048,0.011488957483402,0.0641880025795407,0.0862798491467076,0.0737995742490744,0.0669431969858324,0.0708976867679708,0.0854734661187159,0.09021804563217,0.0925570690913174,0.0350589873830505,0.0307632553405427,0.00390299832627565
-24,0.0372312867978278,-0.0425121306038183,0.0251439338662476,0.0300253066897227,0.00236852492409619,-0.0314186738584075,-0.00594723902526382,0.00761258949655671,-0.0190402860609821,-0.0279832575459619,0.267243739867683,-0.000694571984165051,-0.000887036078189728,0.0854395756964969,0.0642281787723019,-0.0050762438790888,-0.0103418496416428,-0.109989229563234,-0.133793770142704,0.136212611084777,0.0481885147911979,-0.0233088405347754,0.0761728110117712,-0.0015075401062302,-0.015046798302591,0.0464705082808413,-0.0534642556535064,-0.00830527767962777,0.0150396102941603,0.058080006827813,-0.116044332893254,-0.117053128418748,0.0786633769352382,-0.0342894398492335,0.168020377807589,-0.112365306626261,-0.0422287425918374,-0.142764591868054,-0.0113789918346557,0.0361960604855349,0.0310923961457062,0.0194325154183715,0.0041394324220897,-0.00790258929860334,-0.0533551982251315,-0.0252267521756195,-0.106440338923469,0.0175294144443681,0.0971573159611012,-0.145561558131294,0.000201921656521606,-0.0476151010406412,-4.16681695527191e-05,-0.0817951259775467,-0.127633946532317,-0.0165438895680168,-0.0356300913161889,-0.0104837713274616,-0.0546075098848684,-0.0416754953599559,0.013814408621984,0.146710970014254,-0.1032381217671,-0.152531419225459,-0.156767584371986,-0.0877301939235216,0.0822357753867129,-0.123478212088196,-0.0396775463315592,-0.000292407399918362,-0.095927056814845,-0.0770932947056609,-0.00634143461518737,-0.0646914396203938,-0.0473108349325966,0.135628350203204,0.0776034687461406,0.0532278280736756,0.0619179467723735,-0.0941441420000038,-0.0366462890863848,-0.177974627595925,0.390118403405188,0.153171602462357,0.00153507212574852,0.0295158792099722,0.00291226501541988,0.0178214871332833,0.00378531179856471,0.0414309210264942,0.00170143410398672,0.00105256608581206,0.00152280720394744,0.00287436258700716,0.00313498121993458,0.0299865004604562,0.00624217871616392,0.00399894295789614,0.00866254840022496,0.0191120761230968,0.0127751861999962,0.0163553797752241,0.00864210783629215,0.0345655051951406,0.0153151894551022,0.0220594905405663,0.0181302144148992,0.00640000994442032,0.009893520213499,0.0134114173476634,0.0039372683541708,0.0107733765580455,0.0320071735015872,0.00829626420273522,0.0280531430595467,0.00899440138764448,0.0402672720169923,0.0101544275221866,0.514232130358677,0.190989723186221,0.126232206826006,0.0481743742133366,0.0866569007508212,0.074484719261748,0.205581571151768,0.219696455083676,0.016067542049756,-0.344044471399972,-0.0259978977489149,0.000295363701222786,0.1421704846734,-0.0604673719514488,-0.0607820318302367,-0.0693972302420134,-0.0880380672198679,0.434827519445319,0.288959611472999,0.0033418253202464,24,0.0607063393754799,0.0725527045413541,0.0621293114041937,0.0640360726487097,0.0522362323752654,0.0668801504353506,0.0652133321278323,0.0689122194041441,0.0625215891971462,0.0581421781190082,0.0702131340328595,0.0612636555616179,0.0731215201717093,0.059287923935525,0.0703740334710911,0.0679089495278579,0.063753487322351,0.0612588498697764,0.0697280748407187,0.0664401169922953,0.062522163165422,0.0802420187407347,0.0649990855017401,0.0682632317519077,0.072960434643803,0.0651836638010979,0.0814445942494553,0.0640734245124762,0.0704837205088017,0.0777556391984891,0.0748973555075401,0.0702303006297105,0.084326886522808,0.0813834621350795,0.0750333431403211,0.0738828495530571,0.0693189275253577,0.0598318015649741,0.0641039551473206,0.0677064173598446,0.0840706861453043,0.0625091229540291,0.0679415296042789,0.0687151204208497,0.0743953974296348,0.0597300231095369,0.083134788459765,0.0666384635085819,0.0571422167537157,0.0729352531046023,0.0639141596253549,0.0899684846421907,0.0754732912715402,0.0656403369224517,0.0629526732645091,0.081290565436239,0.0803353376617662,0.062409508747256,0.070327199602857,0.0666361927502538,0.0773885534317316,0.0638479880594204,0.0608080770511657,0.0621358038553693,0.0891562544035635,0.0933112210993827,0.0774549226149485,0.0810123653148569,0.0844774791210543,0.0724204826014404,0.0734904538151091,0.0759040437870821,0.119041720526168,0.0771145381231634,0.0731247603120135,0.0804706433047192,0.0810410015896954,0.0976220599172272,0.0753927544212781,0.0634053456491336,0.0658545905884976,0.0686456140709674,0.0941523351644656,0.0259734144352144,0.00296603843423236,0.0127974419136715,0.00309248473029667,0.0108423304238809,0.00390145821754361,0.0126802601578032,0.00263236965700386,0.00232414252189309,0.0034346257917994,0.00393288076300937,0.00367608874964818,0.0117355645100732,0.00499291814046821,0.00485266981114476,0.00623166006004887,0.00842153842040697,0.00725570025182214,0.00864610832378801,0.00577365135704649,0.0135236763368006,0.010424324275617,0.00915837063431295,0.00906219823659958,0.0054346325693525,0.00779480740890311,0.00763219108446887,0.00434435712980747,0.00777626771990748,0.0125048042846368,0.00551473984571187,0.0102956892007145,0.00637360734820065,0.0143140170856326,0.00708796386641921,0.0414726022312957,0.0238840460998206,0.0238017468333003,0.0135834503296046,0.0186359301611268,0.0192389704156526,0.023229165369208,0.0278568226759462,0.00840903600019623,0.0619147694157306,0.0845247962350031,0.0802589252748491,0.0750864225012288,0.0893798112511951,0.0942629728941111,0.102762424766926,0.0940302033260644,0.0335772650344021,0.0321824846850994,0.00350569718159672
-23,0.052191264899332,-0.0256213774773598,0.0277936498727067,0.0284648901533806,0.0360770264294289,0.0153163276650529,0.0174771613504678,0.0215479794417772,-0.0295253577187441,-0.0335537648977446,0.232464942924111,0.0083231205819875,-0.0315346456260434,0.078542961568652,0.0535713821909147,0.0231108190521331,-0.0203571588036515,-0.11639764265421,-0.119113994716162,0.118177241899242,0.0230397110138528,0.0154203314339528,0.0944751163760219,0.0282785019491142,-0.0161262602494675,0.0359662323651126,-0.0492892808310996,-0.00143807158238841,0.000140924866791814,0.0414292179953514,-0.0871147391793526,-0.0923393767320213,0.118135341566451,0.0263737794849048,0.167173300799714,-0.107631077582974,-0.0177480195776808,-0.155293108976704,0.000808827603621749,0.0293735010972835,0.0463096718928276,0.0202469795265838,0.0175411500116088,0.0155483660986488,-0.0462090768665926,-0.0371622093923422,-0.107757310050499,-0.00108200790285088,0.120334517799765,-0.145647316848235,-0.000968263460230498,-0.0473551591649422,-0.0163419839760972,-0.087165237244202,-0.120597023559043,-0.0166713598253015,-0.0439533688627071,-0.00905440725841365,-0.0385612711625709,-0.0488209427656176,0.00810776305755286,0.163718098044326,-0.0703085495030582,-0.136974804678785,-0.128796693600905,-0.0548953742887695,0.0328056940283177,-0.0860573031083294,-0.0336849789298796,0.0434993602637826,-0.0881305356315031,-0.0558583909002461,0.00488374510993766,-0.0752212682866798,-0.0759910574600004,0.12084137825958,0.0829752809853952,0.0496932592551021,0.0646604086165401,-0.102578522929121,-0.0117563234174005,-0.133260336412845,0.423916235984056,0.1533003777435,0.000888114135584611,0.0250981787384558,0.00188047190619954,0.0205684552442922,0.00380010865434721,0.041263293149477,0.00335019764701744,0.0014302030386486,0.00231883094538776,0.00422303083600061,0.00521777186766933,0.0427458580807889,0.00629280381677186,0.00262704830113022,0.00944995601662552,0.0160199886962534,0.0144438317480219,0.0199002980160589,0.0106413967025053,0.0358839796491078,0.0171260446004031,0.0256530133647612,0.0256261335073811,0.00607068746156321,0.0109093191302891,0.0160780762902048,0.00437651206987079,0.0109083200583242,0.036402482939764,0.0110846613217449,0.0320545010728953,0.0107471103495936,0.039880901151434,0.0121153612123247,0.52912100191849,0.192714758329256,0.123080237937887,0.0499240533300575,0.085881493952801,0.0726765934897783,0.204771265908025,0.21854296593768,0.0134021463984062,-0.3425423619618,-0.0242549238337083,-0.0164153090272429,0.143375757094179,-0.028945329798677,-0.0196850184259381,-0.0406606207285993,-0.0560386232018986,0.439489314890255,0.297442878317237,0.0038366742443012,23,0.0581968965414741,0.0610307762777676,0.0622261627976111,0.0757603858595897,0.0598710915062884,0.0809023519489792,0.0572003556123121,0.0608547238374653,0.072786638099194,0.0689134724065791,0.0697422939779964,0.0659460401208919,0.0675393287566653,0.0676596306527627,0.0683680635365585,0.0586497647549644,0.0611308234123445,0.0669640135697328,0.0706592711959068,0.071330117508862,0.073165529543008,0.0691692821955918,0.0578270660335197,0.0699622761478331,0.0712194099403521,0.0778367032012411,0.0727632460628083,0.0600589251609049,0.0594005529209473,0.0666110285594908,0.0637481260709024,0.0606793819313401,0.0911898447260169,0.0767546044749832,0.0835947380573596,0.0604221135153901,0.0565291748098204,0.0621116358250664,0.0618895741076091,0.0677053330993567,0.0712110186464558,0.0511285522296634,0.0656236787568048,0.0720426550188263,0.0666901795156317,0.0672483851012207,0.0629730630652868,0.0631565120676814,0.0652348925045792,0.0718588878139556,0.0614325593813723,0.064646504055941,0.0706068395188551,0.0688290983535138,0.074645966283137,0.0645980439230618,0.0628146711241182,0.0616824301722384,0.0608975855755275,0.0720050207109477,0.0652430416807675,0.0708103794664274,0.0623811531524764,0.0498811964366403,0.0619852186744565,0.0649456029685465,0.0661923215486082,0.066609296317004,0.0655350182514042,0.0758395130126664,0.0585454556552001,0.076590196728189,0.115334391924695,0.0997983680771764,0.102378163332864,0.0658653317744206,0.0681751379295684,0.0960307143025196,0.0812297608652543,0.0711300512244026,0.0755596469912074,0.0627037506564493,0.0860508156652334,0.0238676626101099,0.00182518292985377,0.0102788879377202,0.0030007754538222,0.00868288198385144,0.00409900197392961,0.0135801657481091,0.00329475955750676,0.00262566579495362,0.00368552280367447,0.00371780048825255,0.0052238691594136,0.012384413396618,0.00551705012844917,0.00309049177526927,0.00597318141442068,0.00892859965237376,0.00822970017047577,0.00917573338610518,0.00678301342549235,0.0128328545000118,0.00887670386167435,0.0106243902933928,0.0114076379101164,0.00607582141712178,0.00739236831108862,0.00691983798855838,0.00405560552553732,0.00689212790070361,0.0124626688194474,0.00552338867412875,0.012052490168226,0.00672688925749664,0.011706683223174,0.00678494841598245,0.0301613081895053,0.0313383691327692,0.0232489568668616,0.016158840600005,0.0202184200015108,0.0202618723825884,0.027406375385491,0.0314788147949885,0.00742231437807726,0.0767066408774247,0.0965132837744258,0.0874784388515532,0.0667336716071276,0.0766805514943885,0.0745611887393848,0.0771161122408677,0.0806153417595905,0.035936169683818,0.0271391019541679,0.00393360520384778
-22,0.0511208188801276,-0.00684359699272648,0.0279636338232338,0.00420902448550834,0.0465007119803205,0.0173887865049739,0.0165565009369155,0.0103403151178972,-0.0246769706053895,-0.0367350297558962,0.186472034998244,-0.0288221819012824,-0.0407723533597706,0.0460275454258861,0.054653658863468,0.0428335989311944,-0.00697078017809248,-0.130321819210442,-0.115375704494367,0.111726952820589,0.0505442200431143,0.0326460790657137,0.106227381231788,0.0108106680926727,-0.0179516564107333,-0.00442421179533216,-0.0348790282406116,0.0112433010139999,0.0311633491739551,0.0334459086230572,-0.0456584138286533,-0.0862790754686513,0.0737273320177611,-0.00591849181602271,0.11935953622839,-0.0927935713605285,-0.00284421216504917,-0.143817787333716,-0.00247853876218011,0.0281227262804179,0.0201427153156512,0.00961001221776867,0.00836609468120039,-0.0132828005986897,-0.0611514838028999,-0.0431790883605686,-0.0824465389958946,0.00690997391134202,0.0706094142447999,-0.140170829077656,-0.000334484081677411,-0.103860473686906,-0.010997790570465,-0.0616028191776946,-0.0986396223434049,-0.0515756468688023,-0.0719758413406628,0.00661031560581927,-0.0403338034354058,-0.0488644468192751,-0.0311005922968046,0.1662245135519,-0.0566281473988537,-0.117962270792799,-0.0944349888586848,-0.0221682742634022,0.0385708584497255,-0.0802915022181561,-0.013121096225503,0.0458285169112974,-0.0620936812388053,-0.0267965393756068,0.00719712037218465,-0.0382869101031992,-0.0207893941126821,0.0838380207107902,0.0592415671023888,0.0465555269460239,0.0545113944895917,-0.0598817354904545,-0.0116439618669126,-0.104720172514103,0.450137407722463,0.149177507538918,0.00197365735945108,0.027868912949798,0.00326058367178112,0.0234095444025433,0.00495800871392777,0.0472004490145705,0.00207857349854041,0.00184245055937915,0.00241988519800781,0.0040593972523995,0.00244539432701468,0.0439838549264572,0.00735936605366444,0.00320789320022171,0.0117418528103987,0.0186872118505689,0.0135743278215554,0.0257021297831912,0.0133665083483886,0.0485097434083084,0.0225333332865843,0.0275437993701263,0.0235666164409507,0.00989154309979043,0.016368567509075,0.0205764716765782,0.00414253758950333,0.013646338126195,0.0434722192688761,0.0141834480289941,0.0390457828473885,0.0109447155186611,0.0465118666992246,0.0119625344510133,0.536608267891731,0.194805775633656,0.136649133250841,0.050780872347395,0.0939029758850517,0.0803244742502257,0.212654831983424,0.227757884284002,0.0177516983074774,-0.349095580096589,-0.0378969203624397,-0.023181770904531,0.118546379574688,-0.0152591704620735,-0.00171232376939617,-0.0279001811527931,-0.0410476363695137,0.445103085142554,0.297115878818384,0.0050940223171607,22,0.0709155295985242,0.0601571937840775,0.0650391925435905,0.0672308792250642,0.0645394737427893,0.0742342026770407,0.0678278641008858,0.0596065983802566,0.0605571495162615,0.0625162674500403,0.0717069644087339,0.0599942629683441,0.0699407983564792,0.0565876307890028,0.0644036607806982,0.0733258143795261,0.0657181605516486,0.0675041898984787,0.0644093193189668,0.0620000633268019,0.0716481061462477,0.0730895901465433,0.049247006039699,0.0572724525003168,0.0581547729061282,0.058938210976103,0.0774389818988282,0.0725249527620335,0.0640109915877107,0.0648753171921828,0.0610740707546183,0.0652879716216502,0.096371284503471,0.0842996153977691,0.0893102358071331,0.0916140005493534,0.0609300475064243,0.0643864785347102,0.0623610857790566,0.0645063160363882,0.0649849174672661,0.079524588422959,0.0641874740748182,0.0816775322816066,0.0595826507819369,0.0531680740520512,0.059151554364096,0.0578195924236112,0.0569921299585513,0.0708537219747813,0.0625726248397668,0.06883797195387,0.064415186929735,0.0767440766008129,0.0748640388374145,0.0635879968297108,0.0697680055480808,0.0608153937277583,0.0559957562891427,0.0528060980409331,0.0723431660380262,0.0662675866879016,0.0518161639645181,0.0508742829416562,0.0622234778935673,0.0638785418464072,0.0711307784318303,0.0663420462093101,0.0682336730837519,0.0798911942388496,0.0747425376048949,0.0785845636444842,0.122032724400677,0.0911235595778774,0.125758600110354,0.0639157816895872,0.0710095227533631,0.0874443678808416,0.0674954406155283,0.0597458925749698,0.0749873634979979,0.0631555480519325,0.0721544561128198,0.0214370979337722,0.00337564540113268,0.0128447006120873,0.00439702972931375,0.0110687536100776,0.00437496953201553,0.0139805427878995,0.00305935222363934,0.00288730347342527,0.00312624059513118,0.00392877691245463,0.00321734146982105,0.013571387247356,0.00555083446211001,0.00368703735260181,0.00766460778746402,0.00822458116638523,0.00764937917014661,0.011385671488469,0.00697287763915781,0.0136479253264471,0.00953428659287075,0.0102434887454093,0.010055959642381,0.00683624564183725,0.00835020336601854,0.00852123463740676,0.00519239358322291,0.00922041254766582,0.0133101785361911,0.00677449666709443,0.011270445668842,0.00726481637336805,0.0154700494204593,0.006539605297459,0.0331067964978792,0.0248803091444276,0.0207285367760314,0.0168841311370333,0.0197625653034669,0.0204153621008019,0.0249597785231893,0.0256518123941304,0.00787447541382909,0.0601898667702689,0.0763148521470215,0.0700412196838965,0.0771942762947528,0.0749854232414279,0.0793613963796814,0.077469517506628,0.0823637511799062,0.0361864099025275,0.0318903552703402,0.00574933934444434
