"var","z","x","y","z_worker","xse","yse","z_workerse","xlow","ylow","z_workerlow","xhigh","yhigh","z_workerhigh","time_since_menopause","p"
"bone_alp",1.92276634039675,0.01,0.538321414035883,6.05395677829034,1.00000000030117e-05,0.279972351671604,NA,0.00998999999999699,0.258349062364279,NA,0.010010000000003,0.818293765707488,NA,0.01,0.0545094010799989
"bone_alp",2.43393961255447,1,0.563854913912721,6.91897860728778,0,0.231663477189125,NA,1,0.332191436723596,NA,1,0.795518391101846,NA,1,0.0149354865895148
"bone_alp",3.19778777834769,2,0.588758998557671,7.81590047323005,0,0.184114468928856,NA,2,0.404644529628815,NA,2,0.772873467486527,NA,2,0.00138486155467477
"bone_alp",4.40114327251668,3,0.612116503777915,8.71214751674531,0,0.139081249092782,NA,3,0.473035254685133,NA,3,0.751197752870697,NA,3,1.07681989507391e-05
"bone_alp",6.47718242151238,4,0.633326566596048,9.58110306500443,0,0.0977780963050551,NA,4,0.535548470290993,NA,4,0.731104662901103,NA,4,9.34512467409832e-11
"bone_alp",9.47305208617343,5,0.651869514922433,10.394652107622,0,0.0688130402949943,NA,5,0.583056474627438,NA,5,0.720682555217427,NA,5,0
"bone_alp",11.834788645032,10,0.694195494019181,12.8439236893605,0,0.0586571940438149,NA,10,0.635538299975367,NA,10,0.752852688062996,NA,10,0
"calcium",3.76101888278348,0.01,0.351356196773798,9.0695221982314,1.00000000030117e-05,0.0934204819822026,NA,0.00998999999999699,0.257935714791595,NA,0.010010000000003,0.444776678756,NA,0.01,0.000169222653345624
"calcium",4.80099179491288,1,0.370344121385581,11.0092065190807,0,0.0771390865066666,NA,1,0.293205034878915,NA,1,0.447483207892248,NA,1,1.57881738660492e-06
"calcium",6.33225868964151,2,0.388842792228455,13.2120863625092,0,0.061406649868006,NA,2,0.327436142360449,NA,2,0.450249442096461,NA,2,2.41598074879334e-10
"calcium",8.65017264966474,3,0.406385883933979,15.5517622348699,0,0.0469800893453531,NA,3,0.359405794588626,NA,3,0.453365973279333,NA,3,0
"calcium",12.2369945072964,4,0.422715865857618,17.8275440489229,0,0.0345440921466109,NA,4,0.388171773711007,NA,4,0.457259958004229,NA,4,0
"calcium",17.3497142554533,5,0.437599146188752,19.808860440115,0,0.025222268202556,NA,5,0.412376877986196,NA,5,0.462821414391308,NA,5,0
