"","var","system","N","Nx","Ny","pt","t","delta","deltase","pwilcox","pz","p","padj"
"sodium","sodium","kidney",693,732,724,1.53736430512228e-09,-6.12315961387077,-0.366773048593285,0.0598993120745106,4.37997685423424e-10,9.17377063203162e-10,4.37997685423424e-10,4.44254795215187e-09
"potassium","potassium","kidney",692,731,724,0.528715223060512,-0.630286965756776,-0.0398215886331961,0.0631800922384345,0.700638944924202,0.528506849279965,0.700638944924202,0.765313309071052
"bicarb","bicarb","kidney",689,731,721,0.000430893874729711,-3.53760974388507,-0.18427689192037,0.0520907915970384,0.000922448571053419,0.000403766353393564,0.000922448571053419,0.00242569809425158
"u_creatinine","u_creatinine","kidney",748,758,753,0.00104085531032776,-3.29218948300036,-0.165287057784514,0.0502058155030246,0.000596736051239207,0.000994106089322377,0.000596736051239207,0.00162954844761476
"cystatin","cystatin","kidney",381,489,461,0.000272690454924071,-3.67436196211302,-0.306694820485058,0.083468864430734,2.42305895846516e-05,0.000238444510005209,2.42305895846516e-05,9.55762144727923e-05
"b2m","b2m","kidney",380,489,460,0.0155934493901548,-2.42926564648421,-0.225422912434909,0.0927946734689786,0.0207671735971941,0.0151294424676676,0.0207671735971941,0.0406239175238114
"osmolality","osmolality","kidney",692,732,723,3.66096747182562e-10,-6.36034434294323,-0.38401202658328,0.060375980588117,1.24249574934404e-10,2.0130186406675e-10,1.24249574934404e-10,1.76434396406853e-09
"scr","scr","kidney",689,730,722,0.0584818814632019,-1.89522229346973,-0.106755736734936,0.056328873453409,0.263076087337156,0.0580629578527581,0.263076087337156,0.339607312744329
"bun","bun","kidney",693,732,724,0.988220156870844,0.0147697163966138,0.000834016654350046,0.0564680209121185,0.577767878054493,0.988215899760749,0.577767878054493,0.672483923637197
"u_albumin","u_albumin","kidney",747,757,753,3.20226580998657e-10,-6.37511119862872,-0.337431356644702,0.0529294856405459,2.10593254959543e-10,1.82830195427641e-10,2.10593254959543e-10,2.49202018368793e-09
"dhea","dhea","gonad",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hprog","hprog","gonad",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"andro","andro","gonad",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calcium","calcium","bone",691,732,722,0.000938496987190882,-3.32271802319284,-0.191874212523694,0.0577461617821305,0.000305733925554085,0.00089144977300526,0.000305733925554085,0.000943787335406088
"phosphate","phosphate","bone",693,732,724,0.000286732424948082,-3.64563412560946,-0.186478302846481,0.0511511293841937,0.000180081645822533,0.000266733249965512,0.000180081645822533,0.000581172584245447
"pth","pth","bone",56,204,233,0.505640756414995,-0.670032316718477,-0.138498035188512,0.206703515237614,0.0449587037472994,0.502837189336907,0.0449587037472994,0.0742341387455408
"alp","alp","liver",378,513,549,9.26008460134133e-06,-4.49524307934817,-0.299933885600523,0.066722506504368,4.0091073660941e-09,6.94905170051108e-06,4.0091073660941e-09,3.55808278740851e-08
"bone_alp","bone_alp","bone",48,162,169,0.027711044096633,-2.27190801632988,-0.479424622825723,0.211022902062823,2.21063062352498e-08,0.0230920666295127,2.21063062352498e-08,1.74394193633637e-07
"nfl","nfl","cognition",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"test","test","gonad",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e2","e2","gonad",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fsh","fsh","gonad",41,153,117,0.278316220714869,-1.09905291046474,-0.198918881894895,0.180991178860335,0.0424701904084045,0.271744987889507,0.0424701904084045,0.071794845690398
"lh","lh","gonad",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"progsterone","progsterone","gonad",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shbg","shbg","liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amh","amh","gonad",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e1","e1","gonad",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"troponin","troponin","heart",385,492,463,0.000321561437078467,-3.63019666492201,-0.266691277291564,0.0734646912847884,0.000431527743525203,0.000283205353637905,0.000431527743525203,0.00127660290792872
"bnp","bnp","heart",383,488,464,0.726476959134211,-0.350072853134499,-0.0309583865329677,0.0884341252278521,0.837907035958553,0.726284023474944,0.837907035958553,0.860571112408797
"ck","ck","muscle",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apob","apob","lipid metabolism",48,111,126,0.76906514971516,0.295300264111135,0.0540867253223611,0.183158404836393,0.0565750301805686,0.767764514780379,0.0565750301805686,0.0873223291917472
"homocysteine","homocysteine","kidney",177,353,374,0.000266881588336955,-3.72085194892966,-0.362107853252702,0.0973185330195322,4.16655876323134e-07,0.000198551820193016,4.16655876323134e-07,2.46521393491187e-06
"sbp","sbp","heart",725,746,742,0.81275698374911,0.236957251399259,0.0168784868353863,0.0712300920765958,0.81624963921883,0.812689954281677,0.81624963921883,0.852260652713778
"map","map","heart",717,741,737,0.673128511138503,-0.422031776580062,-0.0241135969031503,0.0571369224814185,0.890242673266427,0.673001823544955,0.890242673266427,0.890242673266427
"pp","pp","heart",717,741,737,0.466840263614173,0.728018513013548,0.0506754279217235,0.0696073341761027,0.227584012697508,0.466602253689125,0.227584012697508,0.299230831509686
"fibrinogen","fibrinogen","clotting",182,359,305,0.000165545920776842,-3.84701708745757,-0.372254015464692,0.0967643259704646,8.06342477676337e-08,0.000119564633527913,8.06342477676337e-08,5.20457417409272e-07
"crp","crp","inflammation",625,699,682,6.71435820471233e-10,6.27068923870261,0.306725661391871,0.0489141862586277,5.29422147504698e-12,3.59453355969208e-10,5.29422147504698e-12,9.3972431182084e-11
"hscrp","hscrp","inflammation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neutrophils","neutrophils","wbc",717,744,736,0.0946600666663794,1.67352855476537,0.0814936127097219,0.0486956810373323,0.104835623615093,0.0942232900558697,0.104835623615093,0.151019275302382
"monocytes","monocytes","wbc",717,744,736,0.136733545586725,1.48973778376449,0.0790973758074407,0.0530948309625105,0.0856438338072995,0.136293195716691,0.0856438338072995,0.126681504173297
"lymphocytes","lymphocytes","wbc",715,744,734,0.203508903737999,1.27278422844177,0.0758832794386919,0.0596199086561543,0.341058707265348,0.203094619237202,0.341058707265348,0.417502900273099
"platelets","platelets","clotting",721,746,738,0.0241722169022981,2.25915156407625,0.118387246870432,0.0524034105338302,0.0352558012455467,0.0238739585593852,0.0352558012455467,0.0641836381649696
"wbc","wbc","wbc",720,746,737,0.057823947267753,1.90006838647179,0.0932900650856523,0.0490982670675771,0.121655484907863,0.0574241457468989,0.121655484907863,0.166106527470352
"eosinophils","eosinophils","wbc",716,743,736,0.92864068669701,0.0895867696071819,0.00425005500908748,0.0474406547721614,0.754339596588151,0.92861559845145,0.754339596588151,0.811486535723617
"alt","alt","liver",689,729,723,0.00673266172672515,-2.71802434996502,-0.120654109418383,0.0443903710501842,0.00287558224447785,0.00656730048389265,0.00287558224447785,0.00729165497706884
"ast","ast","liver",689,729,722,0.0386577320634086,-2.07178332217661,-0.097653363565482,0.0471349308203175,0.0504278766005109,0.0382856527144011,0.0504278766005109,0.0802406463692907
"ggt","ggt","liver",692,732,723,0.000600308826370184,-3.44740131196679,-0.193449848787421,0.0561146879291102,9.29757069904297e-05,0.000566007148693703,9.29757069904297e-05,0.000330063759816025
"bilirubin","bilirubin","liver",377,512,549,0.000793565271126344,-3.38257289805888,-0.159058554889398,0.0470229495957573,0.000497197688227198,0.000718102165019774,0.000497197688227198,0.00141204143456524
"albumin","albumin","liver",693,732,724,1.03186219629698e-06,-4.92969940644382,-0.194202586428544,0.0393944073293179,1.88441530034025e-06,8.23562359641983e-07,1.88441530034025e-06,9.43766271141427e-06
"transferrin","transferrin","iron",148,312,281,0.406868692602419,-0.831804134548994,-0.0685214738912291,0.0823769335173858,0.698468866295881,0.405519509782466,0.698468866295881,0.765313309071052
"iron","iron","iron",691,731,723,4.83445391998399e-06,4.60837947010057,0.176324804035923,0.0382617805629785,6.0915663996212e-07,4.05819512994121e-06,6.0915663996212e-07,3.32693241825465e-06
"ferritin","ferritin","iron",262,418,389,0.108454287725307,-1.61069776807829,-0.126321014306452,0.0784262676772469,0.0508567476988462,0.107245612418026,0.0508567476988462,0.0802406463692907
"b12","b12","micronutrients",504,604,587,0.0248883344349864,-2.24987550116291,-0.139515031557043,0.06201011188616,0.108507524581284,0.024456849516576,0.108507524581284,0.151059495005317
"folate","folate","micronutrients",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"folate_rbc","folate_rbc","micronutrients",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hemoglobin","hemoglobin","iron",721,746,738,0.065435312717588,1.84508739669957,0.0825694947323427,0.0447509938445409,0.0784341232928645,0.0650248262736646,0.0784341232928645,0.118485590506242
"hematocrit","hematocrit","rbc",721,746,738,0.559861996796565,0.58331787384454,0.028842611072614,0.0494457865357659,0.490575820119251,0.559679332311618,0.490575820119251,0.580514720474447
"mcv","mcv","rbc",721,746,738,3.2758168632797e-06,4.68956326558403,0.175488237024126,0.037421019204924,0.000134373349132222,2.7378877607287e-06,0.000134373349132222,0.000454309894685133
"rdw","rdw","rbc",721,746,738,1.87606208436757e-11,-6.82432485790348,-0.238716596849041,0.034980251060671,3.90077551138813e-13,8.83404460694237e-12,3.90077551138813e-13,9.2318353769519e-12
"ldh","ldh","muscle",375,511,548,6.13892417075131e-06,-4.58718388792128,-0.329068181762344,0.0717364269238973,5.50323226084996e-06,4.49264942403715e-06,5.50323226084996e-06,2.44205931575217e-05
"rbc","rbc","rbc",721,746,738,0.0281070103831514,-2.20023668387513,-0.120562156189506,0.0547950850347465,0.0374236365894852,0.0277901068701609,0.0374236365894852,0.0648067853134987
"tibc","tibc","iron",315,458,414,7.51203936462912e-16,8.50499935787164,0.516304767876049,0.0607060325522768,2.3344072902501e-17,0,2.3344072902501e-17,1.12368427569056e-15
"f_glucose","f_glucose","glucose metabolism",196,382,368,0.192393853166268,-1.30805692205024,-0.139763409867884,0.106848109980428,0.013153112075779,0.190854003164418,0.013153112075779,0.0266820273537232
"glycohemoglobin","glycohemoglobin","glucose metabolism",717,745,735,0.000643755916700875,-3.42760293465375,-0.170074076151642,0.0496189551106282,4.95002897171371e-05,0.000608935399249777,4.95002897171371e-05,0.000184974766837723
"total_chol","total_chol","lipid metabolism",694,734,723,0.238685243410862,1.17929547640357,0.0564022267025655,0.0478270525335787,0.31857655906646,0.238280538913182,0.31857655906646,0.396823433223134
"ldl","ldl","lipid metabolism",171,357,350,0.143153905017453,-1.4709474218399,-0.148918166394255,0.101239625688309,0.0112357165406933,0.141305336562653,0.0112357165406933,0.0234628198349773
"hdl","hdl","lipid metabolism",242,369,416,3.94358119544354e-05,4.18835370741975,0.384339454162151,0.091763848282748,6.03939468694775e-08,2.80985347076435e-05,6.03939468694775e-08,4.2879702277329e-07
"tri","tri","lipid metabolism",692,731,724,9.20907808977083e-06,4.46833973999629,0.218783208457803,0.0489629753305161,1.99387240381992e-06,7.88290375286493e-06,1.99387240381992e-06,9.43766271141427e-06
"insulin","insulin","glucose metabolism",187,378,361,0.251827052770584,-1.14949692716815,-0.113993719672858,0.0991683552853753,0.00813362907202151,0.250351133097531,0.00813362907202151,0.0180464895035477
"cpeptide","cpeptide","glucose metabolism",109,267,235,0.838843480799669,0.203863929601558,0.0270459470143213,0.132666661862063,0.299232131114219,0.838459833104502,0.299232131114219,0.379383594805528
"bmi","bmi","glucose metabolism",733,746,750,2.50476571306743e-05,-4.24152644069504,-0.185325879395192,0.0436932038468733,1.74367663893495e-05,2.22004729728553e-05,1.74367663893495e-05,7.2824141979048e-05
"gtt","gtt","glucose metabolism",31,90,106,0.967680856390159,0.0408566798002259,0.0123928151806048,0.303324089015581,0.106351602325621,0.967410153100177,0.106351602325621,0.151019275302382
"tsh","tsh","thyroid",37,99,108,0.0632764660745099,1.9164275999531,0.36670441496533,0.191347909503236,0.612580992764766,0.0553106905261092,0.612580992764766,0.701504040101587
"ft4","ft4","thyroid",38,99,110,0.757475303103573,0.311093811110314,0.0726329611634118,0.233476072391733,0.689330229957882,0.755729305905874,0.689330229957882,0.765313309071052
"tt4","tt4","thyroid",39,99,111,0.120961017768461,1.58629032295455,0.354610609355702,0.223547104980897,0.0211702105405777,0.112673466477497,0.0211702105405777,0.0406239175238114
"ft3","ft3","thyroid",39,99,111,0.537101675784464,-0.622852635504465,-0.115457512992282,0.185368908166809,0.0363979362446279,0.533381365616423,0.0363979362446279,0.0646063368342146
"tt3","tt3","thyroid",39,99,111,0.169999731318344,1.39874117798049,0.312198742225288,0.223199793600159,0.0315855235594012,0.161890611192698,0.0315855235594012,0.059015057176776
"thyroglobulin","thyroglobulin","thyroid",39,99,111,0.227220913049529,-1.22740278427584,-0.396542401589447,0.323074386557957,0.848450392515715,0.219671240447798,0.848450392515715,0.860571112408797
"selenium","selenium","metal",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lead","lead","metal",724,747,740,8.26533324188357e-18,-8.8233942311603,-0.391544169168642,0.0443756856954076,3.16530781884665e-17,0,3.16530781884665e-17,1.12368427569056e-15
"cobalt","cobalt","metal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oxychlordane","oxychlordane","pop",46,152,163,0.748936066420076,0.322010296042735,0.0619303103302028,0.192324006689475,0.369077440674391,0.747444894507761,0.369077440674391,0.444144038777657
"pcb074","pcb074","pop",49,165,179,0.720949635348624,-0.359295799571815,-0.0848100102575931,0.236045092535632,0.777406410859966,0.719373816294719,0.777406410859966,0.823818733896381
"total_bmd","total_bmd","bone mass",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total_bmc","total_bmc","bone mass",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"femor_neck_bmd","femor_neck_bmd","bone mass",90,173,166,0.105753334265149,1.6341814433312,0.271654592176665,0.166232821505371,0.135939506797716,0.102220757777425,0.135939506797716,0.182107641181845
"l1_bmd","l1_bmd","bone mass",86,168,169,0.0187813165391998,2.39575484462517,0.44688888325078,0.186533644814855,0.0100468304449761,0.0165861796837632,0.0100468304449761,0.0216159079270699
"l2_bmd","l2_bmd","bone mass",78,160,167,0.0160150438551755,2.46289407806641,0.495506201197907,0.201188595811203,0.00712922734411486,0.0137820624566087,0.00712922734411486,0.0163282303687792
"l3_bmd","l3_bmd","bone mass",82,157,163,0.0145414568703831,2.49726955349988,0.519958033903468,0.208210616741295,0.00544788558569038,0.0125153781486225,0.00544788558569038,0.0128933292194672
