"t","sodium","potassium","bicarb","u_creatinine","cystatin","b2m","osmolality","scr","bun","u_albumin","dhea","hprog","andro","calcium","phosphate","pth","alp","bone_alp","nfl","test","e2","fsh","lh","progsterone","shbg","amh","e1","troponin","bnp","ck","apob","homocysteine","sbp","map","pp","fibrinogen","crp","hscrp","neutrophils","monocytes","lymphocytes","platelets","wbc","eosinophils","alt","ast","ggt","bilirubin","albumin","transferrin","iron","ferritin","b12","folate","folate_rbc","hemoglobin","hematocrit","mcv","rdw","ldh","rbc","tibc","f_glucose","glycohemoglobin","total_chol","ldl","hdl","tri","insulin","cpeptide","bmi","gtt","tsh","ft4","tt4","ft3","tt3","thyroglobulin","selenium","lead","cobalt","oxychlordane","pcb074","asthma","emphysema","bronchitis","copd","diabetes","anemia","managing_money_hard","heart_failure","heart_disease","angina","heart_attack","stroke","arthritis","osteoporosis","weak_grip","liver_disease","thyroid_problem","walk_quarter_mile","walk_10steps","crouching","lifting_carrying","chores","preparing_meals","walk_across_floor","stand_from_chair","stand_from_bed","cutlery","dressing","protracted_standing","reaching_overhead","push_pull","kidney_disease","kidney_stones","gout","snore","sleep_breathing","trouble_sleeping","sleep_disorder","falling_asleep","wakeup_at_night","wakeup_too_early","insufficient_sleep","sleeping_pills","depression_score","total_bmd","total_bmc","femor_neck_bmd","l1_bmd","l2_bmd","l3_bmd","l4_bmd","smoke_ever","smoke_now","depression_score_num","hip_fracture","moderate_depression","moderately_severe_depression","depression_difficulties","CERAD","CERADDR","AFT","DSST","tse","sodiumse","potassiumse","bicarbse","u_creatininese","cystatinse","b2mse","osmolalityse","scrse","bunse","u_albuminse","dhease","hprogse","androse","calciumse","phosphatese","pthse","alpse","bone_alpse","nflse","testse","e2se","fshse","lhse","progsteronese","shbgse","amhse","e1se","troponinse","bnpse","ckse","apobse","homocysteinese","sbpse","mapse","ppse","fibrinogense","crpse","hscrpse","neutrophilsse","monocytesse","lymphocytesse","plateletsse","wbcse","eosinophilsse","altse","astse","ggtse","bilirubinse","albuminse","transferrinse","ironse","ferritinse","b12se","folatese","folate_rbcse","hemoglobinse","hematocritse","mcvse","rdwse","ldhse","rbcse","tibcse","f_glucosese","glycohemoglobinse","total_cholse","ldlse","hdlse","trise","insulinse","cpeptidese","bmise","gttse","tshse","ft4se","tt4se","ft3se","tt3se","thyroglobulinse","seleniumse","leadse","cobaltse","oxychlordanese","pcb074se","asthmase","emphysemase","bronchitisse","copdse","diabetesse","anemiase","managing_money_hardse","heart_failurese","heart_diseasese","anginase","heart_attackse","strokese","arthritisse","osteoporosisse","weak_gripse","liver_diseasese","thyroid_problemse","walk_quarter_milese","walk_10stepsse","crouchingse","lifting_carryingse","choresse","preparing_mealsse","walk_across_floorse","stand_from_chairse","stand_from_bedse","cutleryse","dressingse","protracted_standingse","reaching_overheadse","push_pullse","kidney_diseasese","kidney_stonesse","goutse","snorese","sleep_breathingse","trouble_sleepingse","sleep_disorderse","falling_asleepse","wakeup_at_nightse","wakeup_too_earlyse","insufficient_sleepse","sleeping_pillsse","depression_scorese","total_bmdse","total_bmcse","femor_neck_bmdse","l1_bmdse","l2_bmdse","l3_bmdse","l4_bmdse","smoke_everse","smoke_nowse","depression_score_numse","hip_fracturese","moderate_depressionse","moderately_severe_depressionse","depression_difficultiesse","CERADse","CERADDRse","AFTse","DSSTse"
-25,0.942822987317965,0.961890439244468,0.939877139462007,0.976418975776487,0.804350666120687,0.880711592894574,0.913978906874289,0.833918832975338,0.906057227714164,0.977283971301908,0.910623970055796,0.992102260264278,0.9554481903886,0.912520471960474,0.962334475087176,0.89267259811375,0.932315390269739,0.918107976535466,0.846275240647964,0.912283724361209,0.973035590367495,0.672466970137849,0.924335786798862,0.936156790235021,1.02914509673549,0.539378876119133,0.799178224645091,1.00574739159211,0.95876460374428,0.950751544894629,0.939946045626216,0.79508265366578,0.807685333889684,0.840981762188098,0.994408031156769,NA,1.04642320275428,1.01544837511035,0.977680686476726,0.987053635292792,0.955877545915704,0.949211919953408,0.971704741224136,0.997494456659821,0.970202994678229,0.840188448763886,0.858736636277125,0.977060457427711,0.823999417610274,0.95412938431461,0.986404183791516,0.902813218894267,0.861579712450733,0.940893041137054,0.910050621628215,0.854618916672384,0.878717537558529,0.874433258589896,0.90351907431936,1.00549830996834,0.93018209100506,0.878606879650938,0.64314814510679,0.691773079915958,0.959644077760302,0.975199131453138,0.954656589057181,0.945442317528034,0.989265638874472,0.898835276743592,1.03792201509951,0.888419245326301,0.888229209681046,0.782425906833174,0.964484163925038,0.690830700351533,0.840903146009936,0.895489891650935,0.954862370709547,0.967657383051681,NA,0.914263845677227,0.868888586765224,0.375328036631274,0.0106955534701643,0.200927256644463,0.0508169823212,0.155797359051932,0.239845285985255,0.17068404144276,0.018177736125812,0.0319880879096065,0.0353502029995343,0.0194744857277279,0.0677949622604683,0.217042523818629,0.0589679009113784,0.0121680549981959,0.0989484709056805,0.228724967364667,0.133202546543386,0.102582397634279,0.192272506226425,0.154614122864832,0.146813780899784,0.0931046307736405,0.0696538590808777,0.109092204920599,0.13656191971711,0.064258043715604,0.0901450008367276,0.186906105079771,0.103659675051725,0.176341423355134,0.109402839363156,0.223427251700052,0.0310174580449063,0.424781548940421,0.482860764334749,0.380731100632289,0.206377440792234,0.37357751131756,0.342685218732423,0.457244903116773,0.450463798531226,0.147800714496641,0.977738958689637,0.965594165594334,0.954299480631698,0.990974647764059,0.966242608910878,0.977753944221536,0.977196754491113,0.982216557189966,0.452869254822458,0.392934008495613,0.159202885155253,0.0513880658559086,0.306674919059549,0.178022199398377,0.352409777494767,NA,NA,NA,NA,25,0.0615355490924232,0.0560058045841944,0.0538964833795799,0.0478544062476274,0.0917976418717052,0.141702529872539,0.0669568247249823,0.0559979770321164,0.0543651483590015,0.0621125930697111,0.212749897509776,0.184570404327376,0.243576014325915,0.045209340472273,0.054767940810159,0.148040140063389,0.0542954261913825,0.123352616739999,0.228905469064883,0.116026504621565,0.138730136687598,0.231473385634197,0.338496799367157,0.132881045367079,0.100985310440183,0.115531565025026,0.197834200785278,0.162989087617466,0.112991936391831,0.079496340024133,0.117257149103744,0.108748996649549,0.0612099272555017,0.0628118186484329,0.0597554308021872,NA,0.0619958604696031,0.0686152659709143,0.0551467724636177,0.0609127674625471,0.0564973875969681,0.0540843085163242,0.0581276635793911,0.0655039151243197,0.0681782568486685,0.0701523124980004,0.0635467837409963,0.052296110068969,0.0595459483599574,0.0733272135698307,0.059373167302789,0.0544402398072429,0.0959968232033646,0.0792450637211691,0.0700544479908423,0.0675733426195333,0.0709643561544,0.0699004124776162,0.0705880367357907,0.0691375148590067,0.0491299792572602,0.0682385132080277,0.137083220717522,0.108829203936384,0.0462966781208674,0.101470232407453,0.0551616260003948,0.0508767250842895,0.0707421503295554,0.17842439361878,0.0466855029587388,0.132726886406657,0.264463840520367,0.175499599362551,0.155635455508446,0.115762426637495,0.177605759351767,0.207573249214479,0.0837831586945295,0.0532404978780689,NA,0.204557322086365,0.290052674019863,0.0248904052241404,0.0277199656789731,0.0407309392033343,0.0674880052462523,0.0297431442208843,0.0306861809281406,0.0292844349108183,0.0338215798913127,0.0406199772101627,0.0369237459062172,0.0345243179958366,0.0381914569137087,0.0290529698409497,0.0594544543054176,0.0522814648791328,0.0363106364037817,0.0310285466023193,0.037460337178572,0.0481478025570936,0.0371829844775669,0.0335707177358021,0.037218623901649,0.0364243407136414,0.0461144270283275,0.038751580546017,0.0358636918750267,0.0462129781709664,0.0407782613795237,0.0308505343701395,0.0446192742725955,0.0328664289576048,0.0311492870142979,0.0363537041690599,0.0451812171693422,0.0355657137470482,0.0292880367153431,0.0282618713609959,0.0522984683188737,0.0910380095808869,0.0972446525108148,0.0757377332212884,0.0847134298762088,0.103163011906828,0.0411737780280854,0.0928782600750134,0.0914270679934076,0.114930517344558,0.106054902527651,0.102183926661984,0.112494062701992,0.130306204339232,0.0137067865397265,0.0196193146835969,0.0153204406732647,0.0544356239693719,0.0337850823277839,0.0382930206069348,0.0241788865326153,NA,NA,NA,NA
-24,0.920153068319255,0.98137022006491,0.9421571916283,0.984350024410838,0.795710581956627,0.858503589695234,0.903078875407124,0.823739492237515,0.91117084588899,0.979486929669309,0.832584390715317,0.975654772125039,0.9688744982792,0.91191642922247,0.962498603708202,0.943054768928377,0.955070715851724,0.979023543193959,0.85050656244048,0.898995781523205,0.945618205695043,0.63215637274059,0.901033351634353,0.941045631717979,0.995790569769243,0.539172423804191,0.784780302777587,0.975184984348569,0.965391192729959,0.943140866647027,0.950652838592115,0.78416177058115,0.837255390648735,0.863018820835388,0.982875724102685,NA,1.04970403727141,1.03985286837752,0.975903256230133,0.981448489318207,0.957684964869088,0.956932676713617,0.961284538625889,1.02275979484035,0.959148694014646,0.849680345460418,0.886439733707438,0.992411638744069,0.834452042523591,0.956263759613812,0.98911054776097,0.906967067236543,0.873462514515469,0.943597406349187,0.938052531796652,0.883084931933684,0.889282136907572,0.91034748515882,0.943084230318561,0.979035575294731,0.916212678217754,0.868093330749188,0.72883663329541,0.682574325060478,0.948637074523779,0.994836485900635,0.955211536316052,0.945732997869817,1.00963989309827,0.872857471945897,1.0463761817549,0.884017652429473,0.843039186957408,0.774332573047916,0.996458369493084,0.732222932936813,0.850135014146011,0.92741826063553,0.99495455935514,0.951303782955562,NA,0.883049735792502,0.82892774737892,0.379971692713317,0.0170405373707057,0.20334555786239,0.0187966914738136,0.158994268334751,0.246943476620327,0.164102843082595,0.012653580972926,0.039557001160616,0.0331685392567852,0.0203296970353796,0.0631954033559015,0.225403715599193,0.0772160567836393,0.0281631970260022,0.119190723590595,0.237739206820523,0.146708864323409,0.114426126368028,0.207518834413532,0.16375512924019,0.160179542086778,0.0862313334611364,0.0640322718522166,0.118746403306218,0.146342444966523,0.0615229622595441,0.0902614540226971,0.203367987261811,0.109096705521445,0.195907354712505,0.111995620133032,0.21747353219129,0.0184604489264358,0.432959251816611,0.475025942619784,0.393600941774052,0.205830349461875,0.368726505397401,0.347866314857122,0.459939445461938,0.448708840935298,0.166583834327585,0.986657689061646,0.991423930007982,1.00146925535181,0.98479060090584,0.954925476809953,0.946652213422667,0.94513659671736,0.927982559385638,0.452796871727289,0.391758316839775,0.160459208384245,0.0621832530247946,0.312753826113711,0.178102257654227,0.351417137321189,NA,NA,NA,NA,24,0.0593619453696722,0.0597483173745446,0.0637409074371829,0.0475121845618496,0.101585577456831,0.112983877140051,0.0648734355174732,0.0571848168641526,0.0667969800552626,0.0733303646934403,0.145689147791969,0.151171255541158,0.223409863647495,0.0632060486052998,0.0640780624664586,0.124953458574784,0.0509052424798552,0.170409816089307,0.265974868499949,0.120501962145251,0.107760942022199,0.219126762534351,0.317917008027777,0.115829909703852,0.104720834468729,0.118185855333463,0.170061835375896,0.154992036420967,0.158214738626368,0.0824680842159634,0.114985673108626,0.134868118137917,0.0605896235109332,0.0551432680808105,0.0555900013009811,NA,0.0730419691294855,0.0672752016878008,0.0514708665333373,0.0545736385766604,0.061042526119409,0.055129390117946,0.0504328672485985,0.0601176983463155,0.0728315226474781,0.0742548527474945,0.0747666179981887,0.0732062772180477,0.0800084271699688,0.0716766279504686,0.0522397502279336,0.0484401048993674,0.0837146118920887,0.0729370952249853,0.0728096902930744,0.0764107446137213,0.084501024524982,0.0605675026986819,0.0651362533037206,0.0540022033126476,0.0614243768001409,0.0610905930381235,0.151671665835974,0.103194016357143,0.0589195813596007,0.108261691873931,0.0616166526789327,0.0564909566708177,0.0851810799452026,0.123500675132816,0.0489150604687612,0.121449127465408,0.193176243701273,0.167978545727145,0.168574019233891,0.144943841505888,0.150312615346257,0.223969290542495,0.0855121183646541,0.0615999398683351,NA,0.172206664413741,0.268696314443412,0.0194354240557605,0.0357578670987327,0.0347824053697552,0.0479007545629276,0.0294595734371979,0.0294502343123225,0.041781919205499,0.0272034757661311,0.0372933533832137,0.0373014435209246,0.0357838238291593,0.0374931075753977,0.0319458014241659,0.055541585780107,0.0705273567654309,0.0289864433382775,0.0292085099392052,0.0394862213200497,0.0397789521338569,0.0306582162339406,0.03419716566609,0.0444055297763606,0.0493263516549117,0.047219336267762,0.0440494487002982,0.0418805200046595,0.042945130481438,0.0479201896626919,0.0363913193767398,0.0373939724826681,0.0360812991200746,0.0326905814292575,0.0368624232527587,0.0403425514489796,0.029657825683837,0.0347056425667268,0.0274250894024296,0.0546988191648895,0.0697975172048447,0.104192324390427,0.0706828032254609,0.0687805269035339,0.110686996748607,0.0459538321042033,0.0934347525415696,0.0878814364139459,0.121186769846443,0.114158242362691,0.119596324542695,0.124904128157337,0.113334626199115,0.0145516381172087,0.0181555967267294,0.017482022058521,0.0574559682477433,0.0311755883350165,0.0415831776254297,0.0227036734800477,NA,NA,NA,NA
-23,0.93968990099595,0.975060520981789,0.922153527694914,0.961189575404504,0.780183134604122,0.868225657140118,0.92595250787702,0.831087668632526,0.912794562367659,0.955727972609468,0.837118934234679,0.950784946919606,0.907454298194913,0.914358551481891,0.978659224241457,0.888228314478733,0.960745709508737,1.01872187544329,0.837453539676105,0.899592078746423,0.935869357764754,0.606182792702738,0.818373990278712,0.944122752274597,1.00010639159275,0.547532764899844,0.75397147826571,0.954322228946064,0.987706392140493,0.959863758073562,0.955003209834908,0.788600532995494,0.853521819904764,0.868332409601119,0.994303391697812,NA,1.02347578506403,1.02531840763718,0.975484650389024,0.988137443229063,0.948158262551161,0.962267196066387,0.971481643859126,1.03399901765534,0.965710889561647,0.87272340981802,0.911538427905656,0.977506496796721,0.828390802038215,0.954954204274588,0.992774150811471,0.915249234223209,0.862547189575222,0.988807701556651,0.945060956556432,0.886806825971438,0.894100762278079,0.909573317732465,0.944277381677171,0.991004835207106,0.952596045750148,0.901102333888072,0.682609243488007,0.737445443560398,0.960196215378546,0.970549018261639,0.976127273346957,0.953905360386175,0.991929436114455,0.929370254963189,1.02784051706403,0.87740300735311,0.91342122845019,0.771912085600062,0.960798953821428,0.696680422030252,0.873273721095893,0.940432872272232,0.958459547020434,0.959929510803595,NA,1.00828048377384,0.873946228638691,0.369337213554326,0.0272780361667307,0.210576838962616,0.0119465159942823,0.167850311225788,0.246348384271995,0.160423612452771,0.0318436874345499,0.0378010174942722,0.0396026004055254,0.0282826482426245,0.0624393077611587,0.223380275551388,0.0775719553685558,0.00785674201318386,0.0998239799621506,0.241025824500973,0.148913263300585,0.118467589645014,0.205941172068429,0.158484553740183,0.166354178768077,0.0883732916653267,0.07045826327909,0.119621345980334,0.134537338270601,0.0534618218479414,0.0919441820931341,0.195041180821512,0.114503883656481,0.186834585072411,0.111724299228762,0.241420122059917,0.0177975475763441,0.431820897975512,0.481526716274312,0.390177830824305,0.204804168532336,0.337920193912024,0.373050430013834,0.459033833739294,0.460853030409193,0.136719795863972,0.974782571717985,0.944581521356682,0.954040494685692,0.971229496314485,0.969729907807493,0.977937144328174,0.980339685864958,0.961637537605904,0.451306901031215,0.393953537800457,0.160088114849067,0.0485250923467111,0.302671060792733,0.17854836719162,0.341893638209357,NA,NA,NA,NA,23,0.0536442078362335,0.0552539880855476,0.0516164713066024,0.0441665428055193,0.121334250654299,0.135263184886377,0.0589257813587684,0.0563534643806541,0.0580816020108952,0.0668576714511353,0.195469338735184,0.168481267507685,0.200691027306316,0.0554542471012964,0.0546733496934681,0.130243568357779,0.0517040009637572,0.15876206547626,0.214007271910971,0.106565068930648,0.121738625522808,0.197822529824343,0.302649253291757,0.127917593468934,0.0861124870074242,0.113113899809206,0.184118760796984,0.147625009447414,0.118923739374205,0.0756678189462516,0.127887905027366,0.101734077512732,0.0561994034051599,0.0550049700983166,0.0720145084661353,NA,0.0645909284553725,0.0788682109557643,0.0465440538055571,0.0651829540420187,0.0465466487865589,0.0441272836824042,0.0464726803639369,0.0594546542554796,0.0640219405007309,0.0843793267104461,0.0749233389690148,0.0625709794729113,0.0574886309937892,0.0837863703822238,0.0489889526658617,0.0579131889402523,0.0680601815254236,0.0792764851739439,0.0743037081389042,0.0662425484573053,0.0719459093669646,0.0618025162128428,0.0758125307752535,0.0586231584981842,0.0536204471182452,0.0747088787598443,0.116158657618103,0.126403398449733,0.0530422096147329,0.097934940411062,0.0601297624806706,0.0440307575113844,0.0768931766966001,0.178531509925996,0.0473195165432184,0.14681468639186,0.206348378619173,0.164502046478613,0.143138888448454,0.14164703744198,0.188047785993329,0.192489206926902,0.0822522251743121,0.0531144031347889,NA,0.197204263992163,0.271194810955718,0.0229873172903286,0.0392050518456083,0.032579869710983,0.0385282222247954,0.0329954961657511,0.0338346526903901,0.0338112452730131,0.0374276503507735,0.0387208243164562,0.0372419589839052,0.0367908747158339,0.0432547066161607,0.0297198068370863,0.0555164720649238,0.036887866418106,0.0332472451000666,0.0283924990889205,0.0388329651035873,0.0369110649802983,0.0333914279344878,0.0372295218009466,0.0308344051092683,0.046237320066971,0.0407080448851488,0.0314205622536807,0.036087893626582,0.0485799556895577,0.0437511907168713,0.0319113339880497,0.0339120615101267,0.0316961168066199,0.0344370511879226,0.0337023039785989,0.0383210976448703,0.0317188376720232,0.0278828153262305,0.0269648884934013,0.0476465784329162,0.109483368620558,0.0913565741771018,0.0680555181358962,0.0675868003283448,0.105895241866521,0.0397906338437551,0.0851094275506132,0.0820657598941893,0.11602813964682,0.107640167706528,0.0992119466104184,0.0978027474255593,0.103040487541644,0.0156213891686766,0.0206065889157972,0.0157830208308734,0.0562351394289052,0.0314344717409639,0.035969519241686,0.0211282715944086,NA,NA,NA,NA
-22,0.951502594177311,0.973502812595415,0.930916519304037,0.978046753253962,0.814930102908908,0.890005116814459,0.91605331570043,0.822440059658416,0.907558423139626,0.986919357300757,0.974175048807575,0.915692380434936,0.896680911788548,0.925717040194857,0.974696423276609,0.920589671727499,0.944240384167656,0.990654258542213,0.88746791630659,0.891618706518832,0.907858145220309,0.657948085882312,0.836829453658248,0.926615549662445,0.959330122151376,0.588351956539096,0.835327651154529,0.968069143780428,1.01062019097351,0.976178933123319,0.951086671764382,0.761732891994802,0.866863490907691,0.873008298378298,0.986338728831916,NA,1.02543289507835,0.999005147882255,0.975431716257285,0.981180828992487,0.963773553901185,0.968448769512568,0.974294416574283,1.02486181870115,0.97229896268669,0.889595568850074,0.931465516419858,0.986184968673134,0.840283120274672,0.953836576742658,0.980500245562231,0.896990232196326,0.862914776782963,0.989943573375726,0.960190909865061,0.879292566802911,0.892983487494444,0.907415249727686,0.903782843167096,1.00102503646984,0.949623424913538,0.88722160191255,0.742493384577731,0.749042435120706,0.952983385892004,0.986828393800245,0.951151797259664,0.946277170959587,0.960772067596848,0.940402415991783,1.02349059819027,0.867446431785009,0.908538846301308,0.822016748296915,0.987065461309896,0.739707067506896,0.944575122201274,0.953640788804331,0.960529051951494,0.978481855330459,NA,0.973251897205337,0.909488002804674,0.368477906657705,0.0263874987180939,0.192580874552088,0.0316017143284936,0.172398464841982,0.240513701130855,0.180291867391089,0.0251815648740128,0.0262943276338019,0.0521621673759907,0.0350898589739713,0.0758677739220781,0.2361377717977,0.0567842047544351,0.0247099566592426,0.125344261337523,0.24778768954739,0.141094300963516,0.101462839925568,0.209393421561363,0.159331756983175,0.168095013460506,0.0999878111889828,0.0840396025236181,0.12830870915278,0.146142387469636,0.0685203687368322,0.108722492838777,0.206263525308348,0.127082438890076,0.202939269697275,0.103641683038457,0.244844384902949,0.0188169062154887,0.442131348799243,0.468582397166565,0.391453474511144,0.223248029867074,0.361433460015036,0.339319276625857,0.451684556674561,0.461773685404895,0.175841144572912,0.982294496042609,1.00556313004171,1.0173249467052,0.947439611732387,0.983718250939417,0.951282511646446,0.950699300604886,0.96492234930139,0.459000577800439,0.397649845953901,0.164873715334738,0.0539169363202169,0.309363236472226,0.191538836274451,0.35148833787567,NA,NA,NA,NA,22,0.0554378457599478,0.0589758626742186,0.0475163419134856,0.0447717753013548,0.0968669203959299,0.123463079522586,0.0561912192979715,0.0529171403792246,0.0557979286992956,0.0630214122628892,0.246420507647189,0.166236057142886,0.174779132507914,0.0448616615546166,0.0536292068420364,0.133169794252897,0.0511226351748621,0.179671239748906,0.251211366861808,0.103736866465107,0.118937199921885,0.204742098548676,0.28290603622302,0.113484563396605,0.0998060474983634,0.136107139744173,0.171777914099741,0.160266907104132,0.1336558769303,0.0884812195027661,0.115027347631123,0.119000439733566,0.0547304028914592,0.058000842986717,0.0537992400572988,NA,0.0625520999055849,0.0775275020459316,0.0408830357595409,0.058129016853469,0.0579699478630864,0.0512543105242139,0.0503479997845199,0.0597555244747761,0.0612197920381411,0.0732127764434876,0.0700584586971177,0.0639896470105844,0.0515487183661068,0.0699515215978025,0.0534993459948867,0.0489585707248587,0.0688225156300683,0.0672222789261541,0.0619535690834178,0.06067540188421,0.0709615475036366,0.0621957567171085,0.0633835844688483,0.059908136130286,0.0431249599720853,0.0591766335169504,0.16056680866735,0.121182891519203,0.0594176604315786,0.0948534871383961,0.0599214755147231,0.0469252873595266,0.0680849214628247,0.211457247356836,0.0502491969546493,0.148497395191313,0.192410110221935,0.18696898651218,0.162418585551013,0.133596603377205,0.161454990263796,0.197402048202083,0.0765332179860676,0.0652718225474733,NA,0.172996256056287,0.258145944664193,0.0194335718358157,0.0379227812962055,0.032988449239056,0.057833978972806,0.0337514704421681,0.0299167317601646,0.0334737890125736,0.0332302936709758,0.033791540164455,0.0329196088029014,0.0363501296200394,0.0304318820532017,0.0262012262761335,0.05671541425433,0.0636700652359742,0.040234588490542,0.0303565246360752,0.0443344769162755,0.0441113406651623,0.038683667870751,0.0376569951894257,0.0425576814574342,0.0462346703612135,0.0393896358715048,0.0435964623340888,0.0408950326679643,0.048169670359283,0.043673487179806,0.036696149473428,0.0373314076793245,0.0405146218871153,0.02980081143261,0.0313869947298994,0.0397337912403145,0.0307245988635907,0.0312053487582479,0.0234759504298316,0.0441139430779764,0.0768372125172854,0.105018138878876,0.0635525735689209,0.0566322619353299,0.0826985612990069,0.0434089811070633,0.111729469241492,0.0920597825756927,0.100635886542399,0.0926261040369934,0.1046747839329,0.0864989520920575,0.101158047311319,0.0112849852888726,0.0171036244752363,0.018240182730163,0.0514886524608365,0.0362719784551708,0.0473443342033152,0.0278516277246917,NA,NA,NA,NA
-21,0.952395974660704,0.989089286222514,0.936253400965078,0.996518825785446,0.871922877722268,0.893652734238838,0.935410286939988,0.834804682014593,0.912709773298794,0.953008297224509,0.883388204146932,0.946485027767403,0.932592246637054,0.942685086667889,0.981779114799402,0.90877268007015,0.961370625379591,1.00438794786946,0.930572199281969,0.901492973219576,0.929177367185582,0.659075603926589,0.825358848970776,0.997890198825521,0.965344535482567,0.628119420071549,0.81417660957278,0.997013397827588,1.0105249793788,0.963028651779839,0.94149120055358,0.834060173773973,0.875661194192317,0.888932587281819,0.983432347443809,NA,1.03874793415666,1.0210999823529,0.979871737669582,0.986359208679142,0.954466862916176,0.971776457901722,0.974779139848436,1.00738868022528,0.959958668285488,0.900238399465529,0.886921255920565,0.970594233976922,0.833717217555778,0.967361950118571,0.979584390625978,0.90703944849859,0.854854427014398,0.987183262490386,0.992365142087219,0.893303062390167,0.927870470333772,0.926808539053412,0.887257586710071,0.988536195347905,0.955366678188943,0.904938409057656,0.723570604363273,0.756398540441247,0.941586212213412,0.984990312094153,0.935043270321809,0.934298944292693,0.972081069386263,0.914118448458751,1.03113199701921,0.908046769329978,0.915446673935835,0.805044480833371,0.991968749998816,0.73352941731892,0.902608051732852,0.957996039495662,0.978121368221337,0.964983549898882,NA,0.974573613484849,0.897130374989815,0.371736537431585,0.0264232961299439,0.197045355224256,0.0258906901801427,0.177444581398511,0.245596508773229,0.169871570057326,0.0385813680469855,0.0491411109861508,0.0574875497844818,0.0552040529940202,0.0779679370182722,0.248985603613507,0.0734005591148039,0.0241733605381417,0.116882515636656,0.24074522504736,0.164835945912287,0.12193930761451,0.214774686092126,0.172967888467516,0.176906190368664,0.0995456654629017,0.0747264438467634,0.133323887613606,0.140248267601838,0.0557550815670652,0.0974327941272943,0.211026092795039,0.122127799128143,0.211575119311374,0.120634771737046,0.238989236710576,0.0186539189931958,0.447968939635978,0.467682143060657,0.391151366785746,0.213201646575138,0.379584731958485,0.379351752789318,0.479949890142656,0.468624803919648,0.178733381156887,0.978791129304376,0.962500994631818,0.983406725075106,0.983195497867169,0.990288083485605,0.975440457745435,0.961157713334772,0.955276937163924,0.457456501145041,0.395018810099357,0.159474769306093,0.0614304840105097,0.307601637623917,0.173439077876095,0.347634010382799,NA,NA,NA,NA,21,0.0552137139111606,0.0489712061134647,0.0635398582095145,0.0381321958197851,0.1442462639528,0.0970126437193402,0.061732419645327,0.0499380766575988,0.0547295300807344,0.0651042759560618,0.178941121820396,0.128328535460906,0.169191863194257,0.0587441754488164,0.0471686417913886,0.131419887809171,0.0526767255202194,0.171069115569596,0.277190081151519,0.119448347749969,0.127329770345616,0.178458583542441,0.268532305471258,0.11803559497554,0.113680947002646,0.118157152478985,0.170141730839876,0.165427721654238,0.130436705615343,0.0799499982321736,0.113317075170467,0.179240737268617,0.0613941122665056,0.0675423892028564,0.0644354502751909,NA,0.0791348364945891,0.0700046249719452,0.0529336181774991,0.0552299496827805,0.0517755590824042,0.0551004898346166,0.0492363383177993,0.055903712537925,0.077421409830765,0.0743790720811017,0.0744086039790746,0.0596521314420416,0.0613550812719788,0.0790230974119216,0.054765129911052,0.054337383667168,0.0754197577115891,0.0776875944738603,0.0738357939326843,0.069907701547387,0.0644182440767267,0.0723267975744826,0.0586082525105209,0.0560305232354218,0.0496752654166012,0.0627063563687818,0.126263774888208,0.124900106081584,0.0458374645270477,0.0995160337545281,0.0506328554342693,0.0492037220511836,0.0677252525008294,0.152818870883435,0.0414150697776919,0.110739846423611,0.16930024351549,0.186166199126372,0.182098815282821,0.135624718892189,0.167766470773402,0.209250768103413,0.083249069765577,0.0567009710849542,NA,0.156063670837926,0.246125940351379,0.0221459578556256,0.0373977709734185,0.0311895757378178,0.0544160891283718,0.0306939116380589,0.0296230757016542,0.0338683719213521,0.0387143805762489,0.0364896171041239,0.0381223317168117,0.0375719797079272,0.0374828046949588,0.02724937140318,0.0576562158623164,0.0622491879610388,0.0272543593167914,0.035543152421523,0.0332243958510732,0.0367342626455065,0.0310935872068904,0.0306089533426153,0.0296477066194803,0.0454090740266212,0.0458266288146409,0.035723364313866,0.031590177368567,0.0437436611690384,0.0370577444718334,0.0370185234041241,0.0419719030399723,0.0297760288079129,0.0360004507813745,0.0328864438252924,0.0397500885223835,0.0294707644199007,0.0313065957807737,0.0225092103013621,0.0468721707511574,0.073402450412857,0.0793821853318284,0.0470564726023362,0.0519759888901109,0.100490041975602,0.0376668832185962,0.0936508673989774,0.0805301372986933,0.100555219320337,0.093671488100138,0.0900775884881785,0.0797571610048217,0.0987517449278451,0.0130703624634539,0.0210363551084493,0.0152034595415065,0.0599825309436582,0.0314580504129479,0.036995814001508,0.0233721532804174,NA,NA,NA,NA
