"survey_year","bin_hrt_now","se"
"1999-00",0.145671641791045,0.00862228138613213
"2001-02",0.163220892274211,0.00862260933391538
"2003-04",0.107559926244622,0.00768341885383324
"2005-06",0.0469361147327249,0.00540186215304469
"2007-08",0.0435823754789272,0.00446907877332622
"2009-10",0.0302336234539624,0.00366565246647204
"2011-12",0.0233644859813084,0.00344293643744396
"2013-14",0,0
"2015-16",0,0
"2017-18",0,0
"2018-19",0,0
"2022",NA,NA
