system,test_name,nhanes_name,linear_time_0_median,sigmoid_time_0_median,two_cp_time_0_median,linear_time_0_mean,sigmoid_time_0_mean,two_cp_time_0_mean,linear_time_0_sd,sigmoid_time_0_sd,two_cp_time_0_sd,linear_time_0_mad,sigmoid_time_0_mad,two_cp_time_0_mad,linear_time_1_median,sigmoid_time_1_median,two_cp_time_1_median,linear_time_1_mean,sigmoid_time_1_mean,two_cp_time_1_mean,linear_time_1_sd,sigmoid_time_1_sd,two_cp_time_1_sd,linear_time_1_mad,sigmoid_time_1_mad,two_cp_time_1_mad,linear_time_2_median,sigmoid_time_2_median,two_cp_time_2_median,linear_time_2_mean,sigmoid_time_2_mean,two_cp_time_2_mean,linear_time_2_sd,sigmoid_time_2_sd,two_cp_time_2_sd,linear_time_2_mad,sigmoid_time_2_mad,two_cp_time_2_mad,linear_time_3_median,sigmoid_time_3_median,two_cp_time_3_median,linear_time_3_mean,sigmoid_time_3_mean,two_cp_time_3_mean,linear_time_3_sd,sigmoid_time_3_sd,two_cp_time_3_sd,linear_time_3_mad,sigmoid_time_3_mad,two_cp_time_3_mad,linear_time_4_median,sigmoid_time_4_median,two_cp_time_4_median,linear_time_4_mean,sigmoid_time_4_mean,two_cp_time_4_mean,linear_time_4_sd,sigmoid_time_4_sd,two_cp_time_4_sd,linear_time_4_mad,sigmoid_time_4_mad,two_cp_time_4_mad,linear_time_5_median,sigmoid_time_5_median,two_cp_time_5_median,linear_time_5_mean,sigmoid_time_5_mean,two_cp_time_5_mean,linear_time_5_sd,sigmoid_time_5_sd,two_cp_time_5_sd,linear_time_5_mad,sigmoid_time_5_mad,two_cp_time_5_mad,linear_time_6_median,sigmoid_time_6_median,two_cp_time_6_median,linear_time_6_mean,sigmoid_time_6_mean,two_cp_time_6_mean,linear_time_6_sd,sigmoid_time_6_sd,two_cp_time_6_sd,linear_time_6_mad,sigmoid_time_6_mad,two_cp_time_6_mad,linear_time_7_median,sigmoid_time_7_median,two_cp_time_7_median,linear_time_7_mean,sigmoid_time_7_mean,two_cp_time_7_mean,linear_time_7_sd,sigmoid_time_7_sd,two_cp_time_7_sd,linear_time_7_mad,sigmoid_time_7_mad,two_cp_time_7_mad,linear_time_8_median,sigmoid_time_8_median,two_cp_time_8_median,linear_time_8_mean,sigmoid_time_8_mean,two_cp_time_8_mean,linear_time_8_sd,sigmoid_time_8_sd,two_cp_time_8_sd,linear_time_8_mad,sigmoid_time_8_mad,two_cp_time_8_mad,linear_time_9_median,sigmoid_time_9_median,two_cp_time_9_median,linear_time_9_mean,sigmoid_time_9_mean,two_cp_time_9_mean,linear_time_9_sd,sigmoid_time_9_sd,two_cp_time_9_sd,linear_time_9_mad,sigmoid_time_9_mad,two_cp_time_9_mad,linear_time_10_median,sigmoid_time_10_median,two_cp_time_10_median,linear_time_10_mean,sigmoid_time_10_mean,two_cp_time_10_mean,linear_time_10_sd,sigmoid_time_10_sd,two_cp_time_10_sd,linear_time_10_mad,sigmoid_time_10_mad,two_cp_time_10_mad
Metabolism,BMI,,-0.0934074821135946,,,-0.0940510134902682,,,0.0055471990190451,,,0.0038483595813574,,,-0.0691373662836654,,,-0.0697198517718603,,,0.0051516314017222,,,0.0036902093830288,,,-0.0421705709170772,,,-0.042685227640296,,,0.0047129536868649,,,0.0035144869404413,,,-0.0152037755504891,,,-0.0156506035087317,,,0.0042754258171577,,,0.0033387644978539,,,0.0117630198160989,,,0.0113840206228325,,,0.0038394409084739,,,0.0031630420552665,,,0.038729815182687,,,0.0384186447543968,,,0.0034055916034469,,,0.002750908997127,,,0.0656966105492751,,,0.0654532688859611,,,0.0029748124239073,,,0.0022305066839418,,,0.0926634059158632,,,0.0924878930175255,,,0.0025486605999149,,,0.0018479752378479,,,0.119630201282451,,,0.11952251714909,,,0.00212991545791,,,0.0015947810157111,,,0.146596996649039,,,0.146557141280654,,,0.0017239825899033,,,0.0012515645003976,,,0.173620751366187,,,0.173591765412218,,,0.0013425346144125,,,0.00121491204785645,,
Metabolism,BMI_no_meds,bmi,-0.0935946699308784,,,-0.0923634487279565,,,0.00520413220121058,,,0.00424687943190372,,,-0.0694248641574987,,,-0.0681487693162597,,,0.00485458107945307,,,0.00405716759147134,,,-0.042569524409299,,,-0.0412435699699301,,,0.0044676615078932,,,0.00384637665765769,,,-0.0155934810906487,,,-0.0143383706236004,,,0.00408271530945869,,,0.00351488215339346,,,0.0115230290129822,,,0.0125668287227293,,,0.00370035840208987,,,0.00304292086414848,,,0.0386395391166131,,,0.039472028069059,,,0.00332148511461315,,,0.00257095957490361,,,0.0659483662046908,,,0.0663772274153887,,,0.0029474391403602,,,0.00208847260371089,,,0.0933564751895755,,,0.0932824267617184,,,0.00258032065110302,,,0.00173602556879171,,,0.120146945538317,,,0.120187626108048,,,0.00222356355783707,,,0.00158443145841755,,,0.147105579531137,,,0.147092825454378,,,0.00188306616607709,,,0.00130421551198162,,,0.174222089634768,,,0.173998024800707,,,0.00156944720610743,,,0.00121491204785645,,
BP,high bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdrenalPituitary,ACTH_ADRENOCORTICOTROPIC_HORMONE,,-0.0172449541998324,-0.0020293000611709,0.121146450497849,0.0863973624235839,-0.0001118732471942,0.565076702023289,0.295709860481332,0.0061850021964832,1.54827877767416,0.218093231038055,0.0046773580811347,0.485141866643708,-0.0319782257324245,-0.0202096612670158,0.0698415102128441,0.0627058159026068,-0.0016370320846699,0.415065685094973,0.274927072966466,0.0600841764554299,1.21210565755726,0.200926931825723,0.0454670258095709,0.380383147726189,-0.0483485274353045,-0.0399599752482682,0.0135468272493565,0.0363818753237432,-0.0061306162135808,0.248386777396844,0.251956247676661,0.110440538527931,0.840753759766523,0.181853266034243,0.0837333531046187,0.30651717189642,-0.0647188291381846,-0.0589784088365452,-0.031570019540046,0.0100579347448797,-0.0151748431276627,0.081707869698715,0.229150034002886,0.145320596532371,0.476884869085457,0.162779600242763,0.110529447133222,0.196395587813961,-0.0810891308410646,-0.077224862692114,-0.0876356604737152,-0.0162660058339837,-0.0290179485304309,-0.0849710379994139,0.206562962484977,0.163928519895036,0.175661624965833,0.145557411332728,0.125230948323437,0.0832806860188432,-0.0974594325439447,-0.094812530571575,-0.148261993841615,-0.0425899464128472,-0.0469552073741028,-0.151103225869239,0.184275632964431,0.16874204068808,0.126265195944431,0.137483662330972,0.129615301372324,0.0730364506493632,-0.113829734246825,-0.111316056470436,-0.177211954585022,-0.0689138869917107,-0.067963080570272,-0.184448772608823,0.162411490927026,0.163355704725537,0.113298620970681,0.132574995158072,0.131397216374729,0.0727533725445812,-0.128725626019734,-0.126878644498267,-0.231524929086185,-0.0952378275705742,-0.0910951070944195,-0.20754973808607,0.141167304687249,0.151148689889431,0.126854324652577,0.121956204619638,0.117011415364558,0.0957328225683682,-0.143526038042535,-0.142087129464242,-0.263296029850648,-0.121561768149438,-0.115624054875115,-0.221724317177519,0.120870407821815,0.134839304226557,0.165544426305546,0.0996163385183457,0.103824714969157,0.126663891914607,-0.158326450065336,-0.157069892385506,-0.304466964579781,-0.147885708728301,-0.141043258756099,-0.224094940361074,0.102087389564953,0.116560678663458,0.204583730951544,0.0840273730989457,0.0911205515567223,0.145452606030482,-0.172757785438046,-0.171769348168124,-0.331920478044424,-0.174209649307165,-0.167018946448853,-0.224168950126104,0.085818102846585,0.0981877748068286,0.238199395793041,0.0716714145014238,0.0825864341466502,0.133571391751348
AdrenalPituitary,ALDOSTERONE_BLOOD,,-0.491745592886867,-0.0129720102311897,-0.938754753223824,-0.485984638613418,-0.0128207770676383,-0.901018710863237,0.088050392408164,0.0021514225098279,0.398306564807466,0.0632089784948402,0.0012780045091043,0.206260632932692,-0.481608353587394,-0.12681358050176,-0.874542285924155,-0.478207595873514,-0.125334041221106,-0.839159105864856,0.0825317485655746,0.0209148577987046,0.32565785941176,0.0614625235861689,0.0124361823309746,0.170930167920079,-0.470344754365757,-0.237626548045363,-0.817550743326329,-0.46956643727362,-0.234852161311547,-0.770426211422211,0.0764495163472444,0.0385381636788902,0.245551353196585,0.0540709121153759,0.022970581284194,0.135809525102788,-0.459241395097034,-0.323016695899672,-0.753759159169752,-0.460925278673727,-0.319256061093645,-0.701693316979566,0.0704325606425793,0.050962344105049,0.166993222325868,0.0465190606916686,0.0313475860351682,0.0816212478614586,-0.450537366314131,-0.381699247124432,-0.673069839722274,-0.452284120073834,-0.377299483703041,-0.632960422536921,0.0644991524604802,0.0579770951060151,0.0939513125770858,0.0391410833238148,0.0377466253065439,0.0459930660067304,-0.441833337531227,-0.417696653886679,-0.542107483296908,-0.44364296147394,-0.412975000802213,-0.552181639086959,0.0586746432292227,0.0604619131107567,0.0639823755432866,0.0347697026290304,0.037605725706595,0.0460463023674505,-0.433129308748324,-0.436757660099143,-0.460069356272705,-0.435001802874047,-0.431968122489778,-0.47232536006409,0.0529949513495343,0.0596387030746049,0.077442207338487,0.0329513206039072,0.0353591684633055,0.0662423823265743,-0.42442527996542,-0.444154537027443,-0.439387253441324,-0.426360644274153,-0.439483477416558,-0.430185364861041,0.0475120405740386,0.0566257962518803,0.0691616208433096,0.0320942865584893,0.033136089697521,0.049799750746301,-0.415721251182517,-0.443912894919098,-0.40507429869578,-0.41771948567426,-0.439489410135486,-0.388045369657993,0.0423024958009018,0.052294185129044,0.0676770433967022,0.0327658515671039,0.0299179792559647,0.0518337235681208,-0.406907284949044,-0.435174359837991,-0.355534609791373,-0.409078327074367,-0.434732740110867,-0.345905374454945,0.0374804792254339,0.0472864102270001,0.073401993795764,0.0335473540262874,0.0317884666201537,0.0657324620638538,-0.398645670806504,-0.425497423177817,-0.301860439804295,-0.400437168474473,-0.42701265980688,-0.308186072436138,0.0332152000665011,0.0420931054605348,0.0816727748734919,0.0284144044178962,0.0342924853894407,0.0608208832822022
AdrenalPituitary,ANGIOTENSIN_I_CONVERTING_ENZYME,,0.440620842859704,0.0110507379387951,1.54753115648838,0.438259721347495,0.0114690549709458,1.65745380516718,0.0927516202337694,0.0023603431058785,0.444383910509605,0.0759587489274737,0.0014553165740505,0.31236977328319,0.437075160458379,0.10827535771219,1.38139181989349,0.43735016301829,0.112309138956614,1.46515247450247,0.0870095005415988,0.022940994182749,0.360124517243687,0.0681633497387753,0.0141530277803596,0.24342297314973,0.433966017625593,0.204248355020699,1.19679255701028,0.436339542652507,0.211506603396926,1.25148432931946,0.0806777250956037,0.0422484127588849,0.269240194540646,0.0603322993644634,0.0261006061913676,0.166815417445886,0.433736114099289,0.280620045522989,1.01219329412707,0.435328922286724,0.289864576571164,1.03781618413645,0.0744094122129669,0.0558319726484698,0.185376688574377,0.0553573015932686,0.0345343001695569,0.13269678016388,0.433506210572985,0.336316647975765,0.80581477254575,0.43431830192094,0.346319272827457,0.824148038953439,0.0682220571540523,0.063482649055343,0.123743164868001,0.0504286772288029,0.039261691897959,0.0967672540293509,0.43327630704668,0.374369869021795,0.623809855071153,0.433307681555157,0.384158753997608,0.617195395149386,0.0621398478913205,0.0661847737759531,0.100054813327069,0.0454768661609726,0.0408263335226575,0.0561964291762064,0.428447657788276,0.399187101068056,0.432821213142096,0.432297061189374,0.4080917585557,0.436428079657278,0.0561969346740214,0.0652840832506116,0.0776311696541224,0.0414378767115189,0.0400183524031804,0.0327289966436878,0.422941062091292,0.414845775951237,0.371957224392637,0.431286440823591,0.422441375130811,0.363057582681168,0.0504425752190561,0.0619988706725757,0.0614677672920468,0.0321440345891916,0.0375686899283697,0.0341687963882259,0.417434466394308,0.419330276382566,0.281431116706291,0.430275820457808,0.430511276788536,0.298720709186947,0.0449492433738116,0.0572666744231496,0.0638867763647048,0.0322951418793895,0.0327458967675602,0.0386754738395646,0.419804677453394,0.41966406088175,0.220762547601252,0.429265200092024,0.434592628820548,0.242301907655736,0.0398251016596352,0.0517676203783681,0.0757034652073392,0.0263817059990824,0.0320798713792608,0.0651274200011947,0.432126789415159,0.430278185099686,0.194698403901471,0.428254579726241,0.43618873564317,0.20028747495064,0.0352316068565787,0.0460079760046251,0.0931315876417647,0.0257055144148185,0.0264999480366397,0.0614446242039907
AdrenalPituitary,CORTISOL_BLOOD,,-0.0515015964602549,-0.0019984748952944,0.0615999262668887,-0.0489170212502195,-0.0020395921296986,0.0815139352552194,0.0482220183661262,0.0010883575585367,0.136710146806666,0.0283629179490245,0.000532043853709,0.0545867410885651,-0.0593364644938702,-0.0197674236413901,0.0368685133128265,-0.0562608177851416,-0.0201486619707958,0.0567269993477726,0.0451518164016266,0.0105845055152793,0.119018624638982,0.0270113442835373,0.0051694082463349,0.0477888388133386,-0.0675201231715781,-0.0383370064142166,0.0093891655860907,-0.0644205917128328,-0.0389345003243339,0.0291859594506094,0.0417602203008553,0.0195212406788332,0.0994344509345575,0.024987845517798,0.0095063741040512,0.0402356140630868,-0.0734501780930311,-0.0549980859513436,-0.0137305758733913,-0.072580365640524,-0.0555489919075261,0.0016449195534463,0.0383947248991168,0.0258355037922398,0.0799818289301441,0.0222931938590262,0.0125170118495222,0.0307212175737876,-0.0818920519081602,-0.0696461311867715,-0.0360362523955131,-0.0807401395682152,-0.069873241773216,-0.0258961203437167,0.0350628468022046,0.0293903941250686,0.0607871844225124,0.0206950858027706,0.0141286627953696,0.0217362152995337,-0.0909288126721594,-0.0825763435174389,-0.0583419289176349,-0.0888999134959065,-0.0822431344174381,-0.0534371602408798,0.0317751628943741,0.0306025703941553,0.0422039870826682,0.0185020907976449,0.0143642295661361,0.0221482582797394,-0.0999655734361587,-0.0942178594372242,-0.0806476054397568,-0.0970596874235977,-0.0931469179509966,-0.0809294950498953,0.02854694648025,0.0300764620158893,0.0257203143341424,0.0163090957925191,0.0140686529602973,0.0177661590498418,-0.109002334200158,-0.104967679939846,-0.10632777783462,-0.105219461351289,-0.103036264575368,-0.107514592853769,0.0254008809890845,0.0283769569498595,0.018617545753509,0.0150837549485983,0.0139263389061449,0.0165118755579668,-0.118039094964157,-0.115130954368754,-0.131045031096757,-0.11337923527898,-0.112258337750803,-0.133634407112072,0.0223716513022648,0.0259503244059968,0.0252029090012527,0.0137535383777905,0.0133825471741647,0.0193234772844434,-0.127075855728156,-0.124920343305899,-0.148177371817696,-0.121539009206671,-0.12105507317947,-0.159277852939673,0.0195137447521418,0.0231293201821554,0.0396166668255225,0.0122713585784399,0.0128467108983769,0.0274345452062207,-0.133835098621684,-0.133057631904045,-0.174635827380604,-0.129698783134363,-0.129585887027982,-0.182972897564207,0.0169142280878104,0.0201717018058514,0.0551539639980696,0.0096455614203264,0.0104790395883281,0.0388466415727306
AdrenalPituitary,CORTISOL_U_FREE_24h,,-0.100887219763382,-0.0027435775660045,-0.900677568563206,-0.0954577377837032,-0.002720112962877,-0.875232684309796,0.0705739220565578,0.0013499362533387,0.498101379330684,0.0455686844575221,0.0008384874695736,0.33069153365196,-0.102486881893044,-0.0270055504643655,-0.747519368597791,-0.0984962607878387,-0.0267229430675011,-0.714827815186663,0.0666151328734953,0.0131438795028926,0.39911200835971,0.0431193010542352,0.0080779481220861,0.270131952709366,-0.104264284259334,-0.051587092350418,-0.580898963057015,-0.1018723974591,-0.0508102329345496,-0.536600182827625,0.0622455303471587,0.0243294877482491,0.290219522765021,0.040397763939472,0.0145168935023687,0.174724961598662,-0.106041686625625,-0.0723064480275419,-0.385728820868126,-0.105248534130362,-0.0706981268836849,-0.358372550468588,0.0579131996113232,0.0323998908438043,0.184465038468646,0.0376762268247088,0.0183444066571946,0.0951769944742948,-0.10963259636379,-0.0889520090203226,-0.189572274522827,-0.108624670801624,-0.0861565481665497,-0.180144918109551,0.0536271745556221,0.0371956816958844,0.0932219517429642,0.0331411823380708,0.0194174074846328,0.0304556822457507,-0.115334898939261,-0.102121105912742,-0.140495189946588,-0.112000807472885,-0.0978349868660315,-0.122472535626658,0.0493995094408198,0.0392165853030153,0.0574601061515143,0.0262819784661217,0.0205212031746835,0.0269294392405657,-0.120912695923884,-0.112682148545058,-0.115775053919017,-0.115376944144147,-0.106677676453966,-0.0938081147155493,0.0452465660105208,0.0391857634880475,0.0735330539988052,0.0229434371002937,0.0175468546805774,0.0232460046300568,-0.12445262139024,-0.118475057634861,-0.0907752910662949,-0.118753080815409,-0.113558172645532,-0.0758102018873333,0.0411909511794943,0.0377785919837805,0.0736198546393088,0.0179286172327383,0.0165471182357152,0.0329153439567302,-0.125159923176245,-0.122036528580079,-0.0796878389421035,-0.12212921748667,-0.11914793980495,-0.0626837893612572,0.0372644562951726,0.0355271077328763,0.0720596256423279,0.0153194820202177,0.0143892645820832,0.0449055810946694,-0.128953837976938,-0.127139652431436,-0.071894919186159,-0.125505354157932,-0.123914936325373,-0.0554334801010062,0.0335124971832071,0.0328228190969909,0.0732573866272007,0.0165992277974855,0.0165784444438885,0.0539579922541754,-0.131915204607113,-0.131935623033234,-0.0586140070047662,-0.128881490829194,-0.128167520564787,-0.054042119684471,0.0300006292019083,0.0299550712745823,0.0741376220227191,0.0153800495703206,0.0158725632299699,0.0645782792699785
AdrenalPituitary,CORTISOL_U_FREE_SAMP,,-0.259479420133937,-0.0076461993389316,-1.09201437347352,-0.256992349820918,-0.0076798181589624,-1.05869481434566,0.0834964274194441,0.0016096607616598,0.769266427683484,0.0458232797383186,0.0010379939587288,0.505059899128304,-0.268667919782705,-0.0751278753400376,-0.932708387225542,-0.267721485687544,-0.0754898866379516,-0.899065635097911,0.0783695255053836,0.0156733881113313,0.623326541765817,0.0461235176146193,0.0101838744977947,0.391301792079804,-0.284349339311844,-0.142902400988986,-0.755781831323085,-0.279642747761574,-0.143769438558623,-0.72169988037819,0.0728456004859084,0.0290207922451892,0.462139581555973,0.0409851397800004,0.0192870870185995,0.264983990843439,-0.294479360215596,-0.198960803789888,-0.565656850982389,-0.291564009835603,-0.200563232172881,-0.54433412565847,0.067546468898292,0.0386926020539007,0.303545770212912,0.0413981605707689,0.0266684886727021,0.191481345236633,-0.305089829199496,-0.242661174319733,-0.389580331147462,-0.303485271909633,-0.245245786541502,-0.366968370938749,0.0625293081631728,0.0445556699099312,0.155682699713214,0.043677469132131,0.0322337628628599,0.084702591499045,-0.315047958014549,-0.275815555365287,-0.336818557849685,-0.315406533983662,-0.27959670889061,-0.32261662464638,0.0578675061356878,0.0472838442490744,0.0801435429284638,0.0468502449930562,0.0362492248038206,0.0645571767387602,-0.325006086829601,-0.302348894275241,-0.317025534919203,-0.327327796057692,-0.306199718488464,-0.310004109553731,0.0536537708052699,0.047830807773448,0.0622105657454633,0.043757403391664,0.0364537288580539,0.0401471072198839,-0.337416423702928,-0.324104452820974,-0.296963534801742,-0.339249058131721,-0.32744351225043,-0.290774893845182,0.0500015094286837,0.0471016218068995,0.0787960683838669,0.0382123537319975,0.0338715861892569,0.0401227024373034,-0.349937654300466,-0.34246878005782,-0.261355844182351,-0.351170320205751,-0.345163226953577,-0.28326230076037,0.0470416808472103,0.0458333675849192,0.0952407289207554,0.0325564103481204,0.0300114227179884,0.0458207784182498,-0.363568440136881,-0.359808059688562,-0.261602015625697,-0.36309158227978,-0.360637253114351,-0.28674001117905,0.0449113960702246,0.0445869647321824,0.11454143163614,0.0265202652129835,0.0257736178616849,0.0585844646789725,-0.374980115495542,-0.373522411113082,-0.266294595997119,-0.37501284435381,-0.374707657335106,-0.301113237536804,0.0437320503210644,0.0437704851505661,0.127679069096652,0.0222440797943492,0.0231689184080963,0.061308202201199
AdrenalPituitary,DEOXYCORTISOL_11,,-0.0234667147714904,-0.002284095570427,-1.62703775209248,0.0101454540733676,-0.0006840227395677,-1.36959825285792,0.254039109088006,0.0053779834302517,1.97039262302902,0.112392574490467,0.0033837378446509,1.75435586236684,-0.0443112168456144,-0.0224774384065112,-1.32379503558006,-0.003919125761224,-0.0070645416538692,-1.09889415613402,0.236580537990589,0.0522832742202102,1.59518299713147,0.1090401153391,0.032910010774124,1.40001702575461,-0.0629503831994553,-0.0429512849122233,-1.01761706148861,-0.0195464366885482,-0.0153657390371266,-0.798111826440788,0.217373675926425,0.0963279328044532,1.18397463076164,0.107438984523346,0.060708045875716,1.00672431708217,-0.0787971533113118,-0.0602329143742939,-0.710315118828677,-0.0351737476158724,-0.0256383527049402,-0.49732949674756,0.198425039024134,0.127289261533421,0.787873908706367,0.108850197512837,0.0803591726266822,0.519462250183537,-0.0918845529849801,-0.0741476045462898,-0.191541753889624,-0.0508010585431966,-0.0379919840103582,-0.196547167054332,0.179816279390396,0.144541179947771,0.448839507548765,0.107502040064141,0.0914140107172522,0.30435141289169,-0.0959418541478715,-0.0851892182773829,0.0162544664782982,-0.0664283694705208,-0.0521230553764258,-0.0015833866723824,0.161664806473127,0.15024087129204,0.254658527881588,0.101824748446847,0.0967817287978281,0.18758935312907,-0.0999991553107628,-0.0940755781595198,0.0611098523382884,-0.082055680397845,-0.0675887647042238,0.0225443264527291,0.144143477362991,0.147494094798507,0.235133991247099,0.100557389468511,0.0993302698489918,0.156917906166913,-0.104467867803262,-0.103204820477892,0.083571098635931,-0.0976829913251692,-0.0839787766874796,-0.0091002859925635,0.127512319313507,0.139227551174241,0.307276612090469,0.0980227996057068,0.105102300046276,0.182140558763139,-0.115291398972759,-0.11512047882556,0.0496721268092728,-0.113310302252493,-0.100977290001498,-0.0043694746880725,0.112167990903096,0.127812761670458,0.316720561591557,0.0905347621028063,0.111181907687,0.213076146825733,-0.126114930142256,-0.126817447592289,0.0157731549826146,-0.128937613179818,-0.11836398587644,-0.0162652470848272,0.0987124201196458,0.115116735942928,0.321029741844915,0.0947529958255986,0.103508200742804,0.249792777697435,-0.144633142837022,-0.138377707634405,-0.0227950103316082,-0.144564924107142,-0.135993554692152,-0.0362638163161319,0.0880161501352489,0.10271634966169,0.330393829404646,0.0635776793539866,0.0840323410685679,0.252669434528992
