year,mean,std_dev
-25,-0.2988829877338751,0.04317277076401367
-24,-0.2659055973607147,0.03910125114541349
-23,-0.23292820698755434,0.035035875570612114
-22,-0.1999508166143939,0.03097906297857012
-21,-0.1669734262412335,0.026934682831418286
-20,-0.13399603586807313,0.022909320496166417
-19,-0.10101864549491271,0.018915121520390175
-18,-0.06804125512175233,0.014977039388152466
-17,-0.03506386474859193,0.011154668336866824
-16,-0.002086474375431526,0.007624078484958952
-15,0.030890915997728877,0.005040987001789883
-14,0.06386830637088928,0.005126554137790901
-13,0.09684569674404968,0.0077933686472072845
-12,0.12982308711721008,0.01134798055087035
-11,0.16280047749037047,0.015178990759028605
-10,0.19458531307440416,0.01738215963734489
-9,0.20838929008448445,0.0209210093151444
-8,0.17021427158541452,0.04169777464008135
-7,0.08164573951642673,0.02749662389427692
-6,-0.006922792552561041,0.013905681243723978
-5,-0.09549132462154881,0.007114446270878655
-4,-0.18405985669053662,0.018105425989211294
-3,-0.2726283887595244,0.032014704190118995
-2,-0.3611969208285122,0.04628196028833766
-1,-0.4497654528974999,0.06065510812373623
0,-0.5383339849664877,0.07507335189328784
